Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Arginine biosynthesis	ko00220	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]
Arginine biosynthesis	ko00220	K09065	N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
Arginine biosynthesis	ko00220	K01940	argininosuccinate synthase [EC:6.3.4.5]
Arginine biosynthesis	ko00220	K01755	argininosuccinate lyase [EC:4.3.2.1]
Arginine biosynthesis	ko00220	K14681	argininosuccinate lyase / amino-acid N-acetyltransferase [EC:2.3.1.1 4.3.2.1]
Arginine biosynthesis	ko00220	K01476	arginase [EC:3.5.3.1]
Arginine biosynthesis	ko00220	K01941	urea carboxylase [EC:6.3.4.6]
Arginine biosynthesis	ko00220	K01457	allophanate hydrolase [EC:3.5.1.54]
Arginine biosynthesis	ko00220	K14541	urea carboxylase / allophanate hydrolase [EC:3.5.1.54 6.3.4.6]
Arginine biosynthesis	ko00220	K01427	urease [EC:3.5.1.5]
Arginine biosynthesis	ko00220	K01428	urease subunit alpha [EC:3.5.1.5]
Arginine biosynthesis	ko00220	K01429	urease subunit beta [EC:3.5.1.5]
Arginine biosynthesis	ko00220	K01430	urease subunit gamma [EC:3.5.1.5]
Arginine biosynthesis	ko00220	K14048	urease subunit gamma/beta [EC:3.5.1.5]
Arginine biosynthesis	ko00220	K01478	arginine deiminase [EC:3.5.3.6]
Arginine biosynthesis	ko00220	K13240	nitric-oxide synthase, brain [EC:1.14.13.39]
Arginine biosynthesis	ko00220	K13241	nitric-oxide synthase, inducible [EC:1.14.13.39]
Arginine biosynthesis	ko00220	K13242	nitric-oxide synthase, endothelial [EC:1.14.13.39]
Arginine biosynthesis	ko00220	K13427	nitric-oxide synthase, plant [EC:1.14.13.39]
Arginine biosynthesis	ko00220	K00491	nitric-oxide synthase, bacterial [EC:1.14.14.47]
Arginine biosynthesis	ko00220	K01425	glutaminase [EC:3.5.1.2]
Arginine biosynthesis	ko00220	K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:3.5.1.2 6.3.5.3]
Arginine biosynthesis	ko00220	K05597	glutamin-(asparagin-)ase [EC:3.5.1.38]
Arginine biosynthesis	ko00220	K01915	glutamine synthetase [EC:6.3.1.2]
Arginine biosynthesis	ko00220	K15371	glutamate dehydrogenase [EC:1.4.1.2]
Arginine biosynthesis	ko00220	K00260	glutamate dehydrogenase [EC:1.4.1.2]
Arginine biosynthesis	ko00220	K00261	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
Arginine biosynthesis	ko00220	K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
Arginine biosynthesis	ko00220	K01948	carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]
Arginine biosynthesis	ko00220	K00926	carbamate kinase [EC:2.7.2.2]
Arginine biosynthesis	ko00220	K14454	aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K14455	aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K00811	aspartate aminotransferase, chloroplastic [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K00812	aspartate aminotransferase [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K00813	aspartate aminotransferase [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K11358	aspartate aminotransferase [EC:2.6.1.1]
Arginine biosynthesis	ko00220	K00814	alanine transaminase [EC:2.6.1.2]
Arginine biosynthesis	ko00220	K14260	alanine-synthesizing transaminase [EC:2.6.1.2 2.6.1.66]
Arginine biosynthesis	ko00220	K14272	glutamate--glyoxylate aminotransferase [EC:2.6.1.44 2.6.1.2 2.6.1.4]
Arginine biosynthesis	ko00220	K11067	N-acetylglutamate synthase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K00618	amino-acid N-acetyltransferase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K00619	amino-acid N-acetyltransferase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K14682	amino-acid N-acetyltransferase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.1 2.3.1.35]
Arginine biosynthesis	ko00220	K22476	N-acetylglutamate synthase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K22477	N-acetylglutamate synthase [EC:2.3.1.1]
Arginine biosynthesis	ko00220	K22478	bifunctional N-acetylglutamate synthase/kinase [EC:2.7.2.8 2.3.1.1]
Arginine biosynthesis	ko00220	K00930	acetylglutamate kinase [EC:2.7.2.8]
Arginine biosynthesis	ko00220	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
Arginine biosynthesis	ko00220	K12659	N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:2.7.2.8 1.2.1.38]
Arginine biosynthesis	ko00220	K00818	acetylornithine aminotransferase [EC:2.6.1.11]
Arginine biosynthesis	ko00220	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17 2.6.1.11]
Arginine biosynthesis	ko00220	K14677	aminoacylase [EC:3.5.1.14]
Arginine biosynthesis	ko00220	K01438	acetylornithine deacetylase [EC:3.5.1.16]
