Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Purine metabolism	ko00230	K13988	ADP-ribose pyrophosphatase [EC:3.6.1.13]
Purine metabolism	ko00230	K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13]
Purine metabolism	ko00230	K01517	manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.53 3.6.1.16 3.6.1.13]
Purine metabolism	ko00230	K13987	ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase [EC:2.7.7.96 3.6.1.58 3.6.1.13]
Purine metabolism	ko00230	K18453	ADP-ribose/FAD diphosphatase [EC:3.6.1.18 3.6.1.13]
Purine metabolism	ko00230	K08312	ADP-ribose diphosphatase [EC:3.6.1.-]
Purine metabolism	ko00230	K18447	ADP-sugar diphosphatase [EC:3.6.1.21]
Purine metabolism	ko00230	K01839	phosphopentomutase [EC:5.4.2.7]
Purine metabolism	ko00230	K22199	phosphopentomutase [EC:5.4.2.7]
Purine metabolism	ko00230	K01835	phosphoglucomutase [EC:5.4.2.2]
Purine metabolism	ko00230	K15778	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
Purine metabolism	ko00230	K15779	phosphoglucomutase / phosphopentomutase [EC:5.4.2.7 5.4.2.2]
Purine metabolism	ko00230	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
Purine metabolism	ko00230	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]
Purine metabolism	ko00230	K11787	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1 2.1.2.2 6.3.4.13]
Purine metabolism	ko00230	K11788	phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1 6.3.4.13]
Purine metabolism	ko00230	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]
Purine metabolism	ko00230	K13713	fusion protein PurCD [EC:6.3.4.13 6.3.2.6]
