Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidaminococcus	0	0	K00027	Homo
g__Aeromonas	0	0	K00027	Homo
g__Aggregatibacter	0.562	0.10481613347831	K00027	Homo
g__Arcanobacterium	0	0	K00027	Homo
g__Arthrobacter	0	0	K00027	Homo
g__Atopobium	4.299	0.801787469436399	K00027	Homo
g__Bacillus	0	0	K00027	Homo
g__Bifidobacterium	0	0	K00027	Homo
g__Brachybacterium	0	0	K00027	Homo
g__Citrobacter	0	0	K00027	Homo
g__Clostridium	0.615	0.114700928984272	K00027	Homo
g__Desulfovibrio	0.163	0.0304004088202217	K00027	Homo
g__Eikenella	6.11	1.13954906681935	K00027	Homo
g__Enterobacter	0	0	K00027	Homo
g__Enterococcus	0	0	K00027	Homo
g__Erysipelothrix	0	0	K00027	Homo
g__Escherichia	0	0	K00027	Homo
g__Faecalibacterium	0	0	K00027	Homo
g__Fretibacterium	78.75	14.6873140772543	K00027	Homo
g__Fusobacterium	11.347	2.11627876615371	K00027	Homo
g__Klebsiella	0	0	K00027	Homo
g__Lactobacillus	0	0	K00027	Homo
g__Lactococcus	0	0	K00027	Homo
g__Leptotrichia	4.087	0.762248287412552	K00027	Homo
g__Lysinibacillus	0	0	K00027	Homo
g__Micromonospora	0	0	K00027	Homo
g__Morganella	0	0	K00027	Homo
g__Neisseria	7.748	1.44504519962624	K00027	Homo
g__Olsenella	21.995	4.10219013497409	K00027	Homo
g__Pantoea	0.1	0.0186505575584182	K00027	Homo
g__Prevotella	0	0	K00027	Homo
g__Propionibacterium	312.11	58.2102551955791	K00027	Homo
g__Proteus	0	0	K00027	Homo
g__Pseudomonas	0	0	K00027	Homo
g__Rhodococcus	0	0	K00027	Homo
g__Staphylococcus	1.508	0.281250407980947	K00027	Homo
g__Streptococcus	0	0	K00027	Homo
g__Streptomyces	1.398	0.260734794666687	K00027	Homo
g__Streptosporangium	3.931	0.73315341762142	K00027	Homo
g__Veillonella	18.506	3.45147218176087	K00027	Homo
unclassified	62.948	11.7401529718731	K00027	Homo
Total	536.177	100	K00027	Homo
g__Acidaminococcus	0	0	K00027	Pan
g__Aeromonas	0	0	K00027	Pan
g__Aggregatibacter	0.113	0.0253409251455982	K00027	Pan
g__Arcanobacterium	0	0	K00027	Pan
g__Arthrobacter	0	0	K00027	Pan
g__Atopobium	0	0	K00027	Pan
g__Bacillus	5.902	1.32355876291434	K00027	Pan
g__Bifidobacterium	0.091	0.0204072937013224	K00027	Pan
g__Brachybacterium	2.332	0.52296493309323	K00027	Pan
g__Citrobacter	0	0	K00027	Pan
g__Clostridium	0.159	0.0356566999836293	K00027	Pan
g__Desulfovibrio	0.061	0.0136796144591282	K00027	Pan
g__Eikenella	0.036	0.00807321509063305	K00027	Pan
g__Enterobacter	1.37	0.307230685393536	K00027	Pan
g__Enterococcus	0.49	0.109885427622505	K00027	Pan
g__Erysipelothrix	0	0	K00027	Pan
g__Escherichia	0	0	K00027	Pan
g__Faecalibacterium	0	0	K00027	Pan
g__Fretibacterium	89.298	20.0256100323153	K00027	Pan
g__Fusobacterium	20.986	4.70623588588959	K00027	Pan
g__Klebsiella	0	0	K00027	Pan
g__Lactobacillus	0	0	K00027	Pan
g__Lactococcus	0	0	K00027	Pan
g__Leptotrichia	0	0	K00027	Pan
g__Lysinibacillus	1.659	0.37204066209334	K00027	Pan
g__Micromonospora	3.502	0.785344423538804	K00027	Pan
g__Morganella	0.165	0.0370022358320682	K00027	Pan
g__Neisseria	0	0	K00027	Pan
g__Olsenella	57.628	12.9234233123056	K00027	Pan
g__Pantoea	0	0	K00027	Pan
g__Prevotella	0	0	K00027	Pan
g__Propionibacterium	35.764	8.02029068059446	K00027	Pan
g__Proteus	0	0	K00027	Pan
g__Pseudomonas	0.106	0.0237711333224195	K00027	Pan
g__Rhodococcus	0.961	0.215509991724955	K00027	Pan
g__Staphylococcus	0.144	0.0322928603625322	K00027	Pan
g__Streptococcus	0	0	K00027	Pan
g__Streptomyces	0	0	K00027	Pan
g__Streptosporangium	0	0	K00027	Pan
g__Veillonella	0	0	K00027	Pan
unclassified	225.152	50.491681224617	K00027	Pan
Total	445.919	100	K00027	Pan
g__Acidaminococcus	0.148	0.0412945276380367	K00027	Gorilla
g__Aeromonas	0.693	0.193358835494321	K00027	Gorilla
g__Aggregatibacter	9.354	2.60992575355538	K00027	Gorilla
g__Arcanobacterium	0.082	0.0228794004481014	K00027	Gorilla
g__Arthrobacter	0.236	0.0658480305579505	K00027	Gorilla
g__Atopobium	0	0	K00027	Gorilla
g__Bacillus	0	0	K00027	Gorilla
g__Bifidobacterium	5.095	1.42159201564728	K00027	Gorilla
g__Brachybacterium	0	0	K00027	Gorilla
