Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidaminococcus	0	0	K00027	Homo
g__Aeromonas	0	0	K00027	Homo
g__Aggregatibacter	0.644	0.0476930345952239	K00027	Homo
g__Arcanobacterium	0	0	K00027	Homo
g__Arthrobacter	0	0	K00027	Homo
g__Atopobium	4.299	0.31837322317526	K00027	Homo
g__Bacillus	0	0	K00027	Homo
g__Bifidobacterium	0.59	0.0436939292099101	K00027	Homo
g__Brachybacterium	0	0	K00027	Homo
g__Candida	0.048	0.00355476034250116	K00027	Homo
g__Citrobacter	0	0	K00027	Homo
g__Clostridium	0.615	0.0455453668882961	K00027	Homo
g__Desulfovibrio	0.216	0.0159964215412552	K00027	Homo
g__Eikenella	94.853	7.02457672431797	K00027	Homo
g__Enterobacter	0	0	K00027	Homo
g__Enterococcus	0	0	K00027	Homo
g__Erysipelothrix	0	0	K00027	Homo
g__Escherichia	0	0	K00027	Homo
g__Faecalibacterium	0	0	K00027	Homo
g__Fretibacterium	125.27	9.27718391885667	K00027	Homo
g__Fusobacterium	61.932	4.58652953191212	K00027	Homo
g__Klebsiella	0	0	K00027	Homo
g__Lactobacillus	0	0	K00027	Homo
g__Lactococcus	0	0	K00027	Homo
g__Leptotrichia	13.735	1.01717986050528	K00027	Homo
g__Lysinibacillus	0	0	K00027	Homo
g__Micromonospora	0	0	K00027	Homo
g__Morganella	0	0	K00027	Homo
g__Neisseria	111.527	8.25941159829431	K00027	Homo
g__Olsenella	51.297	3.79892794352671	K00027	Homo
g__Pantoea	0.1	0.00740575071354408	K00027	Homo
g__Parascardovia	0.019	0.00140709263557338	K00027	Homo
g__Prevotella	0.056	0.00414722039958469	K00027	Homo
g__Propionibacterium	599.524	44.399252907868	K00027	Homo
g__Proteus	0	0	K00027	Homo
g__Pseudomonas	0	0	K00027	Homo
g__Rhodococcus	0	0	K00027	Homo
g__Staphylococcus	1.508	0.111678720760245	K00027	Homo
g__Streptococcus	0	0	K00027	Homo
g__Streptomyces	1.398	0.103532394975346	K00027	Homo
g__Streptosporangium	3.931	0.291120060549418	K00027	Homo
g__Veillonella	26.071	1.93075326852808	K00027	Homo
unclassified	252.669	18.7120362704047	K00027	Homo
Total	1350.302	100	K00027	Homo
g__Acidaminococcus	0	0	K00027	Pan
g__Aeromonas	0	0	K00027	Pan
g__Aggregatibacter	0.113	0.0253409251455982	K00027	Pan
g__Arcanobacterium	0	0	K00027	Pan
g__Arthrobacter	0	0	K00027	Pan
g__Atopobium	0	0	K00027	Pan
g__Bacillus	5.902	1.32355876291434	K00027	Pan
g__Bifidobacterium	0.091	0.0204072937013224	K00027	Pan
g__Brachybacterium	2.332	0.52296493309323	K00027	Pan
g__Candida	0	0	K00027	Pan
g__Citrobacter	0	0	K00027	Pan
g__Clostridium	0.159	0.0356566999836293	K00027	Pan
g__Desulfovibrio	0.061	0.0136796144591282	K00027	Pan
g__Eikenella	0.036	0.00807321509063305	K00027	Pan
g__Enterobacter	1.37	0.307230685393536	K00027	Pan
g__Enterococcus	0.49	0.109885427622505	K00027	Pan
g__Erysipelothrix	0	0	K00027	Pan
g__Escherichia	0	0	K00027	Pan
g__Faecalibacterium	0	0	K00027	Pan
g__Fretibacterium	89.298	20.0256100323153	K00027	Pan
g__Fusobacterium	20.986	4.70623588588959	K00027	Pan
g__Klebsiella	0	0	K00027	Pan
g__Lactobacillus	0	0	K00027	Pan
g__Lactococcus	0	0	K00027	Pan
g__Leptotrichia	0	0	K00027	Pan
g__Lysinibacillus	1.659	0.37204066209334	K00027	Pan
g__Micromonospora	3.502	0.785344423538804	K00027	Pan
g__Morganella	0.165	0.0370022358320682	K00027	Pan
g__Neisseria	0	0	K00027	Pan
g__Olsenella	57.628	12.9234233123056	K00027	Pan
g__Pantoea	0	0	K00027	Pan
g__Parascardovia	0	0	K00027	Pan
g__Prevotella	0	0	K00027	Pan
g__Propionibacterium	35.764	8.02029068059446	K00027	Pan
g__Proteus	0	0	K00027	Pan
g__Pseudomonas	0.106	0.0237711333224195	K00027	Pan
g__Rhodococcus	0.961	0.215509991724955	K00027	Pan
g__Staphylococcus	0.144	0.0322928603625322	K00027	Pan
g__Streptococcus	0	0	K00027	Pan
g__Streptomyces	0	0	K00027	Pan
g__Streptosporangium	0	0	K00027	Pan
g__Veillonella	0	0	K00027	Pan
unclassified	225.152	50.491681224617	K00027	Pan
Total	445.919	100	K00027	Pan
g__Acidaminococcus	0.148	0.0412945276380367	K00027	Gorilla
g__Aeromonas	0.693	0.193358835494321	K00027	Gorilla
g__Aggregatibacter	9.354	2.60992575355538	K00027	Gorilla
g__Arcanobacterium	0.082	0.0228794004481014	K00027	Gorilla
g__Arthrobacter	0.236	0.0658480305579505	K00027	Gorilla
