Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidovorax	0	0	K01104	Homo
g__Advenella	0	0	K01104	Homo
g__Aggregatibacter	25.856	2.46349208768949	K01104	Homo
g__Arcanobacterium	0	0	K01104	Homo
g__Atopobium	4.533	0.431892389909363	K01104	Homo
g__Bacillus	0	0	K01104	Homo
g__Bacteroides	0	0	K01104	Homo
g__Bifidobacterium	0	0	K01104	Homo
g__Capnocytophaga	9.96	0.948962762739301	K01104	Homo
g__Citrobacter	0	0	K01104	Homo
g__Clostridium	0	0	K01104	Homo
g__Corynebacterium	0	0	K01104	Homo
g__Cryptobacterium	0	0	K01104	Homo
g__Debaryomyces	0	0	K01104	Homo
g__Enterobacter	0.55	0.0524025621994594	K01104	Homo
g__Erysipelothrix	0	0	K01104	Homo
g__Escherichia	0	0	K01104	Homo
g__Exiguobacterium	0.466	0.0443992617908147	K01104	Homo
g__Faecalibacterium	0	0	K01104	Homo
g__Filifactor	2.82	0.268682228004501	K01104	Homo
g__Lactobacillus	0.286	0.0272493323437189	K01104	Homo
g__Lactococcus	0	0	K01104	Homo
g__Leptotrichia	6.648	0.633404060912738	K01104	Homo
g__Lysinibacillus	0	0	K01104	Homo
g__Macrococcus	0	0	K01104	Homo
g__Malassezia	3.08	0.293454348316973	K01104	Homo
g__Micrococcus	2.217	0.21122996435673	K01104	Homo
g__Micromonospora	0	0	K01104	Homo
g__Nitrosomonas	0	0	K01104	Homo
g__Porphyromonas	6.093	0.580525111784193	K01104	Homo
g__Prevotella	0.573	0.054593942073255	K01104	Homo
g__Propionibacterium	274.345	26.1388744120194	K01104	Homo
g__Pseudomonas	0.719	0.068504440402566	K01104	Homo
g__Rahnella	0.295	0.0281068288160737	K01104	Homo
g__Rhodococcus	0	0	K01104	Homo
g__Rhodopseudomonas	0	0	K01104	Homo
g__Rothia	8.158	0.777272913496709	K01104	Homo
g__Staphylococcus	5.718	0.544796092102743	K01104	Homo
g__Streptococcus	631.323	60.1508050462715	K01104	Homo
g__Streptomyces	0	0	K01104	Homo
g__Streptosporangium	0.384	0.0365865161538044	K01104	Homo
g__Veillonella	16.221	1.54549447534078	K01104	Homo
unclassified	49.322	4.69927122327588	K01104	Homo
Total	1049.567	100	K01104	Homo
g__Acidovorax	0	0	K01104	Pan
g__Advenella	0.157	0.272148936539028	K01104	Pan
g__Aggregatibacter	0	0	K01104	Pan
g__Arcanobacterium	0	0	K01104	Pan
g__Atopobium	0	0	K01104	Pan
g__Bacillus	7.922	13.7322539825617	K01104	Pan
g__Bacteroides	0	0	K01104	Pan
g__Bifidobacterium	0.208	0.360554005096292	K01104	Pan
g__Capnocytophaga	0.645	1.11806410234187	K01104	Pan
g__Citrobacter	0	0	K01104	Pan
g__Clostridium	0.586	1.01579157205013	K01104	Pan
g__Corynebacterium	0	0	K01104	Pan
g__Cryptobacterium	0.872	1.51155332905753	K01104	Pan
g__Debaryomyces	0.06	0.104005963008546	K01104	Pan
g__Enterobacter	1.137	1.97091299901194	K01104	Pan
g__Erysipelothrix	0	0	K01104	Pan
g__Escherichia	0	0	K01104	Pan
g__Exiguobacterium	0	0	K01104	Pan
g__Faecalibacterium	0	0	K01104	Pan
g__Filifactor	1.226	2.12518851080795	K01104	Pan
g__Lactobacillus	0	0	K01104	Pan
g__Lactococcus	0	0	K01104	Pan
g__Leptotrichia	0	0	K01104	Pan
g__Lysinibacillus	5.058	8.76770268162041	K01104	Pan
g__Macrococcus	0.222	0.38482206313162	K01104	Pan
g__Malassezia	0	0	K01104	Pan
g__Micrococcus	0	0	K01104	Pan
g__Micromonospora	4.195	7.27175024701416	K01104	Pan
g__Nitrosomonas	0	0	K01104	Pan
g__Porphyromonas	6.991	12.1184281232124	K01104	Pan
g__Prevotella	0	0	K01104	Pan
g__Propionibacterium	27.322	47.3608486886581	K01104	Pan
g__Pseudomonas	0	0	K01104	Pan
g__Rahnella	0	0	K01104	Pan
g__Rhodococcus	0.58	1.00539097574928	K01104	Pan
g__Rhodopseudomonas	0.091	0.157742377229628	K01104	Pan
g__Rothia	0	0	K01104	Pan
g__Staphylococcus	0	0	K01104	Pan
g__Streptococcus	0	0	K01104	Pan
g__Streptomyces	0	0	K01104	Pan
g__Streptosporangium	0	0	K01104	Pan
g__Veillonella	0	0	K01104	Pan
unclassified	0.417	0.722841442909393	K01104	Pan
Total	57.689	100	K01104	Pan
g__Acidovorax	0	0	K01104	Gorilla
g__Advenella	0	0	K01104	Gorilla
g__Aggregatibacter	10.737	10.3690040463935	K01104	Gorilla
g__Arcanobacterium	0.197	0.190248095104733	K01104	Gorilla
g__Atopobium	0	0	K01104	Gorilla
g__Bacillus	0	0	K01104	Gorilla
g__Bacteroides	0	0	K01104	Gorilla
g__Bifidobacterium	13.968	13.4892659513853	K01104	Gorilla
g__Capnocytophaga	0.874	0.844044848332673	K01104	Gorilla
g__Citrobacter	1.078	1.04105302803504	K01104	Gorilla
g__Clostridium	0	0	K01104	Gorilla
g__Corynebacterium	0	0	K01104	Gorilla
g__Cryptobacterium	0.736	0.710774609122251	K01104	Gorilla
g__Debaryomyces	0	0	K01104	Gorilla
g__Enterobacter	0	0	K01104	Gorilla
g__Erysipelothrix	1.833	1.770176438208	K01104	Gorilla
g__Escherichia	6.499	6.27625568571401	K01104	Gorilla
g__Exiguobacterium	9.477	9.15218881882008	K01104	Gorilla
g__Faecalibacterium	0	0	K01104	Gorilla
g__Filifactor	0.19	0.183488010507103	K01104	Gorilla
g__Lactobacillus	0.675	0.65186530048576	K01104	Gorilla
g__Lactococcus	0.73	0.704980250895711	K01104	Gorilla
g__Leptotrichia	0	0	K01104	Gorilla
g__Lysinibacillus	0	0	K01104	Gorilla
g__Macrococcus	0.695	0.671179827907561	K01104	Gorilla
g__Malassezia	0	0	K01104	Gorilla
g__Micrococcus	0	0	K01104	Gorilla
g__Micromonospora	0	0	K01104	Gorilla
g__Nitrosomonas	0.358	0.345730040850225	K01104	Gorilla
g__Porphyromonas	2.679	2.58718094815015	K01104	Gorilla
g__Prevotella	0.658	0.63544795217723	K01104	Gorilla
g__Propionibacterium	34.944	33.7463423113695	K01104	Gorilla
g__Pseudomonas	1.562	1.5084645916426	K01104	Gorilla
g__Rahnella	0	0	K01104	Gorilla
g__Rhodococcus	0.261	0.252054582854494	K01104	Gorilla
g__Rhodopseudomonas	0.17	0.164173483085303	K01104	Gorilla
g__Rothia	0	0	K01104	Gorilla
g__Staphylococcus	0.212	0.204733990671083	K01104	Gorilla
g__Streptococcus	7.598	7.33758896754194	K01104	Gorilla
g__Streptomyces	0	0	K01104	Gorilla
g__Streptosporangium	0	0	K01104	Gorilla
g__Veillonella	0.531	0.512800703048798	K01104	Gorilla
unclassified	6.887	6.65095751769693	K01104	Gorilla
Total	103.549	100	K01104	Gorilla
g__Acidovorax	0	0	K01104	Alouatta
g__Advenella	0	0	K01104	Alouatta
g__Aggregatibacter	48.023	26.4251755332027	K01104	Alouatta
g__Arcanobacterium	0	0	K01104	Alouatta
g__Atopobium	0	0	K01104	Alouatta
g__Bacillus	0	0	K01104	Alouatta
g__Bacteroides	0	0	K01104	Alouatta
g__Bifidobacterium	0	0	K01104	Alouatta
g__Capnocytophaga	0	0	K01104	Alouatta
g__Citrobacter	0	0	K01104	Alouatta
g__Clostridium	0	0	K01104	Alouatta
g__Corynebacterium	0.313	0.172231637796315	K01104	Alouatta
g__Cryptobacterium	0	0	K01104	Alouatta
g__Debaryomyces	0	0	K01104	Alouatta
g__Enterobacter	0	0	K01104	Alouatta
g__Erysipelothrix	0	0	K01104	Alouatta
g__Escherichia	0	0	K01104	Alouatta
g__Exiguobacterium	0	0	K01104	Alouatta
g__Faecalibacterium	0	0	K01104	Alouatta
g__Filifactor	0	0	K01104	Alouatta
g__Lactobacillus	0	0	K01104	Alouatta
g__Lactococcus	0	0	K01104	Alouatta
g__Leptotrichia	0	0	K01104	Alouatta
g__Lysinibacillus	0	0	K01104	Alouatta
g__Macrococcus	0.233	0.128210771905883	K01104	Alouatta
g__Malassezia	0	0	K01104	Alouatta
g__Micrococcus	0	0	K01104	Alouatta
g__Micromonospora	0	0	K01104	Alouatta
g__Nitrosomonas	0	0	K01104	Alouatta
g__Porphyromonas	5.325	2.93013888583188	K01104	Alouatta
g__Prevotella	0.155	0.0852904276627121	K01104	Alouatta
g__Propionibacterium	7.558	4.15887130499857	K01104	Alouatta
g__Pseudomonas	0	0	K01104	Alouatta
g__Rahnella	0	0	K01104	Alouatta
g__Rhodococcus	0	0	K01104	Alouatta
g__Rhodopseudomonas	0	0	K01104	Alouatta
g__Rothia	0	0	K01104	Alouatta
g__Staphylococcus	0	0	K01104	Alouatta
