seed_id	PC1	PC2	PC3	enzyme
SEED;Carbohydrates;Photorespiration (oxidative C2 cycle);Catalase (EC 1.11.1.6);	-0.0516981951261657	0.0629634617234185	0.0251713256996413	Catalase (EC 1.11.1.6)
SEED;DNA Metabolism;DNA repair, bacterial RecBCD pathway;Exodeoxyribonuclease V gamma chain (EC 3.1.11.5);	-0.184934110793475	0.0713238471140279	0.0398939926548004	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)
SEED;DNA Metabolism;DNA repair, bacterial UvrD and related helicases;ATP-dependent DNA helicase Rep;	-0.109791713342194	0.0647273012129187	0.000450125510768214	ATP-dependent DNA helicase Rep
SEED;Fatty Acids, Lipids, and Isoprenoids;Fatty Acid Biosynthesis FASII;3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41);	-0.0660038805393204	0.0688359008288041	-0.0502162522395624	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)
SEED;Nucleosides and Nucleotides;Purine de novo biosynthesis in plants;Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1);	-0.0529353868525884	0.0753429965168685	-0.0597530032518518	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)
SEED;Nucleosides and Nucleotides;Purine de novo biosynthesis in plants;Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1);	-0.0641079091073703	0.0640351656832042	-0.0367284630701635	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)
SEED;Potassium metabolism;Glutathione-regulated potassium-efflux system and associated functions;Glutathione-regulated potassium-efflux system ATP-binding protein;	-0.00743968504467103	0.0750541583564144	-0.0312211563387612	Glutathione-regulated potassium-efflux system ATP-binding protein
SEED;Regulation and Cell signaling;Stringent Response, (p)ppGpp metabolism;GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II;	-0.0404518308621804	0.0662581025867625	-0.0685779080083379	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II
SEED;Respiration;Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes;Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-);	-0.0908030246150643	0.0663516406634834	-0.105864659508537	Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)
SEED;Virulence;Multidrug Resistance Efflux Pumps;Acriflavin resistance protein;	-0.017369761275251	0.0837494869508119	-0.0566949391320816	Acriflavin resistance protein
