Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,4537479,4537479,504299,4033180,100.000,1.125,0.8075,3.9108,9.95,7.49,6.25,5.4,4.76,0.0172,0.0149,0.0175,0.0154,42.14,38.0,70.2
Sample 2/29,EBO003,5094180,5094180,729692,4364488,100.000,1.167,0.869,5.2438,8.66,5.68,4.59,4.04,3.68,0.0163,0.0134,0.0164,0.0139,41.91,38.0,71.72
Sample 3/29,ECO002,2084294,2084294,210678,1873616,100.000,1.112,0.3454,1.7445,9.29,4.98,3.59,2.92,2.48,0.0335,0.0144,0.0345,0.015,38.8,36.0,68.6
Sample 4/29,ECO004,1102958,1102958,153022,949936,100.000,1.161,0.1709,0.7205,9.17,3.9,1.9,0.97,0.5,0.033,0.0144,0.0343,0.0148,37.88,35.0,67.44
Sample 5/29,EMN001,6099023,6099023,667604,5431419,100.000,1.123,1.4145,5.793,20.2,14.65,11.6,9.56,8.07,0.026,0.0173,0.026,0.0171,54.81,48.0,68.27
Sample 6/29,FUM002,6143359,6143359,802690,5340669,100.000,1.150,1.1528,5.8235,14.11,9.82,7.82,6.55,5.66,0.0346,0.0186,0.0347,0.0185,45.43,41.0,68.57
Sample 7/29,GOY005,30250774,30250774,5887504,24363270,100.000,1.242,4.6424,18.4937,28.44,23.5,20.53,18.26,16.38,0.0231,0.0192,0.0226,0.0197,40.1,37.0,68.58
Sample 8/29,JAE008,6140748,6140748,300024,5840724,100.000,1.051,2.2957,8.736,18.79,15.11,13.16,11.65,10.34,0.0141,0.0138,0.0182,0.0155,82.73,76.0,70.59
Sample 9/29,JAE014,10034455,10034455,1109569,8924886,100.000,1.124,3.5069,16.8285,16.35,11.68,9.77,8.72,8.03,0.0173,0.0159,0.0225,0.0183,82.7,76.0,70.72
Sample 10/29,KNP001,7607902,7607902,762068,6845834,100.000,1.111,1.9184,10.975,10.98,7.54,6.21,5.51,5.08,0.0119,0.0114,0.01,0.0108,58.98,54.0,71.75
Sample 11/29,KNP004,15218480,15218480,2405299,12813181,100.000,1.188,3.6864,27.0519,8.72,6.25,5.27,4.71,4.32,0.0126,0.0111,0.0115,0.0104,60.56,55.0,72.06
Sample 12/29,KNP005,2568846,2568846,79741,2489105,100.000,1.032,0.7309,5.4341,5.84,3.63,2.92,2.56,2.34,0.016,0.0128,0.0127,0.0124,61.8,54.0,71.75
Sample 13/29,KNP009,6110445,6110445,572509,5537936,100.000,1.103,1.5998,10.4094,11.1,7.03,5.37,4.5,3.99,0.0158,0.0138,0.0137,0.0133,60.8,57.0,71.72
Sample 14/29,LIB007.A0115,1648,1648,1596,52,100.000,31.692,0,0.0106,0,0,0,0,0,0.0,0.0,0.0,0.08,35.5,32.0,55.47
Sample 15/29,LIB007.A0116,92,92,59,33,100.000,2.788,0,0.0043,0,0,0,0,0,0.0,0.0909,0.0,0.0,37.97,33.0,58.13
Sample 16/29,LIB007.A0135.SG1.1,202,202,118,84,100.000,2.405,0,0.0046,0,0,0,0,0,0.0,0.0,0.0,0.0,37.85,33.0,64.83
Sample 17/29,LIB025.A0301,1643,1643,263,1380,100.000,1.191,0.0003,0.0182,0.03,0,0,0,0,0.0338,0.011,0.0371,0.0149,49.52,44.5,69.68
Sample 18/29,LIB025.A1001,571,571,278,293,100.000,1.949,0.0001,0.0109,0.01,0,0,0,0,0.03,0.0094,0.0109,0.0222,51.24,43.0,62.32
