seed_id	PC1	PC2	PC3	enzyme
SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2);	-0.207809693815095	-0.0141958549488774	0.0395593187960234	Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)
SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2);	-0.172938075827159	-0.0423908075774624	0.0285980535789762	Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)
SEED;Carbohydrates;Acetyl-CoA biosynthesis in plants;Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4);	-0.124796797817353	-0.0391569225807773	0.00952296598231326	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
SEED;Carbohydrates;Glycogen metabolism;Maltodextrin phosphorylase (EC 2.4.1.1);	-0.173496929848284	0.109520576717876	-0.105307359318882	Maltodextrin phosphorylase (EC 2.4.1.1)
SEED;Cofactors, Vitamins, Prosthetic Groups, Pigments;Fe-S cluster assembly;Chaperone protein HscA;	-0.149337677776188	-0.0322236901487399	0.0133927294352676	Chaperone protein HscA
SEED;DNA Metabolism;DNA repair, bacterial RecBCD pathway;Exodeoxyribonuclease V beta chain (EC 3.1.11.5);	-0.124418972233868	-0.0314592335160419	-0.0216317282468419	Exodeoxyribonuclease V beta chain (EC 3.1.11.5)
SEED;DNA Metabolism;DNA repair, bacterial RecBCD pathway;Exodeoxyribonuclease V gamma chain (EC 3.1.11.5);	-0.20055962677817	-0.0274255194873251	0.0206075503225536	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)
SEED;Membrane Transport;Ton and Tol transport systems;Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid;	-0.189968700647628	-0.033914099249613	-0.0370932271216941	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
SEED;Protein Metabolism;Protein degradation;Oligopeptidase A (EC 3.4.24.70);	-0.172685222407071	-0.0208270323031737	0.0139046844175965	Oligopeptidase A (EC 3.4.24.70)
SEED;Stress Response;Glutathione: Biosynthesis and gamma-glutamyl cycle;Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3);	-0.187508982601707	0.137006156304017	-0.104851880998466	Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)
