Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/26,DJA002.A0101,3328,3328,156,3172,100.000,1.049,0.0535,1.1895,0.76,0.41,0.33,0.27,0.24,0.1045,0.1125,0.0797,0.0551,40.27,37.0,54.93
Sample 2/26,EBO003.A0101,6567,6567,586,5981,100.000,1.098,0.1042,2.3747,0.85,0.48,0.39,0.34,0.31,0.0991,0.1034,0.0703,0.0646,41.63,38.0,56.13
Sample 3/26,ECO002.B0101,280279,280279,13504,266775,100.000,1.051,4.6744,7.7361,75.58,58.16,44.55,34.8,27.96,0.5048,0.3143,0.4147,0.2404,41.85,39.0,43.28
Sample 4/26,ECO004.B0101,360766,360766,27273,333493,100.000,1.082,5.8009,5.4363,86.48,78.22,69.5,60.6,51.83,0.5407,0.3514,0.4585,0.2805,41.55,38.0,41.67
Sample 5/26,EMN001.A0101,114855,114855,3740,111115,100.000,1.034,2.8034,3.9307,66.88,50.4,38.65,29.73,22.74,0.3164,0.1931,0.259,0.1463,60.26,56.0,44.48
Sample 6/26,FUM002.A0101,58523,58523,4116,54407,100.000,1.076,1.0466,2.4545,44.32,24.07,13.26,7.4,4.15,0.4237,0.2494,0.3253,0.1851,45.95,41.0,44.37
Sample 7/26,GOY005.A0101,120729,120729,3404,117325,100.000,1.029,2.1934,3.1741,59.61,43.63,32.35,23.84,17.23,0.2724,0.1966,0.2097,0.1544,44.65,41.0,44.6
Sample 8/26,JAE008.A0101,846767,846767,47266,799501,100.000,1.059,27.251,22.2328,93.96,92.05,90.37,88.76,87.14,0.0356,0.0367,0.0293,0.0295,81.41,76.0,44.83
Sample 9/26,JAE014.A0101,617164,617164,30097,587067,100.000,1.051,19.9095,16.5948,93.17,90.38,88.21,86.12,84.07,0.0398,0.0381,0.0344,0.0321,81.0,76.0,45.04
Sample 10/26,KNP001.A0102,2696,2696,105,2591,100.000,1.041,0.0611,1.5066,0.87,0.37,0.28,0.24,0.21,0.1149,0.1118,0.0888,0.0781,56.3,53.0,53.49
Sample 11/26,KNP004.A0102,38,38,0,38,100.000,1.000,0.0009,0.0365,0.08,0.02,0,0,0,0.2222,0.1,0.125,0.1111,58.89,55.5,53.94
Sample 12/26,KNP005.A0102,1589,1589,79,1510,100.000,1.052,0.0387,0.9786,0.7,0.31,0.21,0.17,0.16,0.0733,0.0958,0.0693,0.0867,61.24,61.0,53.37
Sample 13/26,KNP009.A0102,1971,1971,49,1922,100.000,1.025,0.0465,1.0102,1,0.43,0.3,0.23,0.2,0.1252,0.125,0.074,0.095,57.79,55.0,52.57
Sample 14/26,MTM009.A0101,2466,2466,105,2361,100.000,1.044,0.0452,0.677,1.7,0.61,0.36,0.26,0.2,0.0519,0.0546,0.0438,0.0453,45.77,42.0,54.21
Sample 15/26,OAK002.A0101,666995,666995,27257,639738,100.000,1.043,12.9171,9.7921,92.74,89.29,86.05,82.77,79.36,0.3252,0.2431,0.2595,0.1863,48.23,42.0,43.27
Sample 16/26,OAK005.A0101,38145,38145,855,37290,100.000,1.023,0.8588,1.9937,47.62,20.26,7.73,2.99,1.24,0.235,0.1728,0.1776,0.1337,55.01,48.0,44.9
Sample 17/26,OFN001.A0101,24507,24507,779,23728,100.000,1.033,0.5082,1.6211,33.29,9.48,2.46,0.75,0.36,0.2162,0.176,0.1608,0.1263,51.15,46.0,45.75
Sample 18/26,OME002.A0101,44610,44610,2410,42200,100.000,1.057,1.0025,8.9152,7.84,5.12,4.03,3.45,3.03,0.0942,0.0812,0.0707,0.0603,56.74,51.0,46.81
Sample 19/26,OME003.A0101,58347,58347,3727,54620,100.000,1.068,1.3006,11.3507,7.9,5.46,4.4,3.78,3.38,0.0868,0.0873,0.058,0.0587,56.87,51.0,46.2
Sample 20/26,OME005.A0101,55480,55480,4044,51436,100.000,1.079,1.358,12.5361,6.96,4.76,3.89,3.4,3.07,0.0764,0.0635,0.0539,0.0461,63.06,60.0,47.13
Sample 21/26,PES001.B0101,405707,405707,64238,341469,100.000,1.188,9.0351,11.4041,72.54,64.19,58.4,53.79,49.8,0.2142,0.1188,0.1904,0.1097,63.2,70.0,45.73
Sample 22/26,PLV001.A0101,189371,189371,11445,177926,100.000,1.064,4.4708,5.2393,78.48,66.49,55.74,46.13,37.81,0.2288,0.1412,0.1838,0.1082,60.02,55.0,44.95
Sample 23/26,RIG001.A0101,195786,195786,33722,162064,100.000,1.208,3.2294,4.684,74.19,58.5,45.34,34.67,26.15,0.327,0.233,0.2511,0.1682,47.59,42.0,44.02
Sample 24/26,TAF008.B0101,16781,16781,2433,14348,100.000,1.170,0.2668,1.2251,13.71,5.47,2.53,1.21,0.64,0.4221,0.2561,0.3388,0.1973,44.41,41.0,45.71
Sample 25/26,VLC004.A0101,781928,781928,22350,759578,100.000,1.029,30.1326,22.3446,93.34,91.49,89.9,88.5,87.15,0.0851,0.0743,0.0653,0.0557,94.75,86.0,44.56
Sample 26/26,VLC009.A0101,747664,747664,25201,722463,100.000,1.035,34.1853,27.4498,91.89,88.93,86.65,84.73,83.02,0.0461,0.0452,0.0355,0.0346,113.01,105.0,44.53
