Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,127378,127378,15511,111867,100.000,1.139,0.0749,1.5504,1.43,0.62,0.44,0.36,0.32,0.0219,0.0225,0.0263,0.0231,41.45,37.0,51.16
Sample 2/29,EBO003,89582,89582,13560,76022,100.000,1.178,0.0498,1.2001,2.16,0.72,0.39,0.26,0.19,0.0251,0.0207,0.0223,0.0201,40.54,36.0,51.32
Sample 3/29,ECO002,35572,35572,6386,29186,100.000,1.219,0.0175,0.8347,0.82,0.21,0.1,0.06,0.04,0.0601,0.0249,0.0492,0.0254,37.08,35.0,51.72
Sample 4/29,ECO004,35408,35408,7469,27939,100.000,1.267,0.0175,0.8873,0.93,0.14,0.06,0.04,0.03,0.0484,0.0273,0.0493,0.0283,38.81,35.0,49.5
Sample 5/29,EMN001,104050,104050,16399,87651,100.000,1.187,0.0684,1.934,2.82,1.18,0.61,0.36,0.23,0.0299,0.0227,0.0298,0.0213,48.28,42.0,53.44
Sample 6/29,FUM002,14437,14437,2294,12143,100.000,1.189,0.0076,0.4624,0.33,0.08,0.04,0.03,0.02,0.0364,0.0228,0.0491,0.0279,38.83,35.0,54.3
Sample 7/29,GOY005,646124,646124,166596,479528,100.000,1.347,0.3012,3.9934,9.13,4.64,2.75,1.78,1.25,0.0297,0.0242,0.0284,0.0237,38.86,36.0,55.42
Sample 8/29,JAE008,352835,352835,9911,342924,100.000,1.029,0.4508,2.4151,11.52,7.67,5.55,4.18,3.2,0.0203,0.0189,0.0224,0.0212,81.34,76.0,51.97
Sample 9/29,JAE014,333161,333161,11732,321429,100.000,1.036,0.424,2.9808,8.98,6.16,4.86,3.85,3,0.0275,0.0249,0.0328,0.0295,81.62,76.0,50.05
Sample 10/29,KNP001,427800,427800,45623,382177,100.000,1.119,0.3616,4.0918,6.9,4.94,3.64,2.64,1.87,0.0146,0.0143,0.0117,0.0133,58.54,54.0,49.71
Sample 11/29,KNP004,917908,917908,117832,800076,100.000,1.147,0.822,6.6035,6.49,5.25,4.74,4.41,4.16,0.0139,0.013,0.0122,0.012,63.58,60.0,49.41
Sample 12/29,KNP005,213096,213096,7776,205320,100.000,1.038,0.2104,2.3875,5.5,2.84,1.67,1.13,0.87,0.0217,0.0167,0.0166,0.016,63.42,56.0,48.35
Sample 13/29,KNP009,857422,857422,67104,790318,100.000,1.085,0.7971,4.6504,7.1,5.57,4.91,4.55,4.29,0.0153,0.0134,0.0126,0.0127,62.4,59.0,48.58
Sample 14/29,LIB007.A0115,3,3,0,3,100.000,1.000,0,0.0013,0,0,0,0,0,0.0,0.0,0.0,0.0,33.33,34.0,53.54
Sample 15/29,LIB007.A0116,2,2,1,1,100.000,2.000,0,0.0008,0,0,0,0,0,0.0,0.0,0.0,0.0,39.0,39.0,58.97
Sample 16/29,LIB007.A0135.SG1.1,14,14,4,10,100.000,1.400,0,0.0032,0,0,0,0,0,0.0,0.0,0.0,0.0,49.1,40.0,45.42
Sample 17/29,LIB025.A0301,151,151,17,134,100.000,1.127,0.0001,0.011,0.01,0,0,0,0,0.0,0.0,0.0,0.0294,49.14,44.0,52.05
Sample 18/29,LIB025.A1001,117,117,60,57,100.000,2.053,0,0.0081,0,0,0,0,0,0.0,0.0,0.0,0.0,53.4,43.0,53.48
Sample 19/29,LIB025.A1301,71,71,30,41,100.000,1.732,0,0.0063,0,0,0,0,0,0.0,0.0,0.0,0.0,53.9,42.0,54.3
Sample 20/29,MTM009,407204,407204,65376,341828,100.000,1.191,0.2696,4.5944,4.59,2.18,1.33,0.96,0.78,0.0242,0.0212,0.024,0.0213,48.8,43.0,49.26
Sample 21/29,OAK002,87417,87417,21708,65709,100.000,1.330,0.0413,2.0604,1.87,0.41,0.19,0.11,0.07,0.0343,0.0213,0.0292,0.0223,38.91,35.0,53.93
Sample 22/29,OAK005,20454,20454,2067,18387,100.000,1.112,0.0125,0.6376,0.66,0.14,0.06,0.04,0.03,0.026,0.0226,0.0307,0.0255,42.01,37.0,52.4
Sample 23/29,OME002,351588,351588,33135,318453,100.000,1.104,0.3339,2.8639,7.58,5.94,4.62,3.44,2.46,0.0091,0.0085,0.0085,0.0082,64.87,62.0,49.41
Sample 24/29,OME003,1073857,1073857,104377,969480,100.000,1.108,1.0857,5.6897,7.84,7.06,6.65,6.35,6.1,0.0077,0.0086,0.0057,0.0075,69.3,75.0,49.03
Sample 25/29,OME005,73808,73808,26466,47342,100.000,1.559,0.0444,5.2913,1,0.32,0.19,0.13,0.09,0.0199,0.0153,0.0154,0.0129,58.03,52.0,53.4
Sample 26/29,PES001,16554,16554,3837,12717,100.000,1.302,0.0099,1.4721,0.23,0.05,0.03,0.03,0.02,0.0336,0.0218,0.0396,0.0238,48.2,41.0,55.77
Sample 27/29,TAF008,50007,50007,9679,40328,100.000,1.240,0.0255,0.7842,1.28,0.33,0.16,0.1,0.07,0.0361,0.0206,0.042,0.0187,39.15,36.0,51.6
