"","Number_of_Positions","Sample_Name","Passed_Filter"
"23",109287,"JAE008",TRUE
"4",103621,"GOY005",TRUE
"22",89429,"VLC009",TRUE
"1",85650,"JAE014",TRUE
"3",83199,"VLC004",TRUE
"14",16087,"EMN001",TRUE
"21",15715,"KNP009",TRUE
"12",7125,"OAK005",TRUE
"7",2824,"KNP001",TRUE
"9",2530,"OAK002",TRUE
"18",2287,"MTM009",TRUE
"26",1794,"ECO004",TRUE
"8",1768,"KNP004",TRUE
"25",1346,"DJA002",TRUE
"11",1290,"KNP005",TRUE
"2",1121,"TAF008",TRUE
"20",905,"OME003",FALSE
"16",749,"PES001",FALSE
"13",573,"EBO003",FALSE
"24",568,"OME002",FALSE
"19",315,"ECO002",FALSE
"15",268,"OME005",FALSE
"28",121,"FUM002",FALSE
"10",2,"LIB025.A1001",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB025.A0301",FALSE
