"","Number_of_Positions","Sample_Name","Passed_Filter"
"26",104649,"ECO004",TRUE
"9",103418,"OAK002",TRUE
"23",103301,"JAE008",TRUE
"1",72399,"JAE014",TRUE
"4",68083,"GOY005",TRUE
"22",57636,"VLC009",TRUE
"3",42555,"VLC004",TRUE
"19",41236,"ECO002",TRUE
"16",37476,"PES001",TRUE
"14",33688,"EMN001",TRUE
"2",15084,"TAF008",TRUE
"15",10936,"OME005",TRUE
"28",10890,"FUM002",TRUE
"12",9949,"OAK005",TRUE
"20",8801,"OME003",TRUE
"24",8524,"OME002",TRUE
"18",6451,"MTM009",TRUE
"8",1928,"KNP004",TRUE
"21",1009,"KNP009",TRUE
"7",563,"KNP001",FALSE
"11",333,"KNP005",FALSE
"13",115,"EBO003",FALSE
"25",115,"DJA002",FALSE
"10",9,"LIB025.A1001",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB025.A0301",FALSE
