study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sample_title
PRJEB8420	SAMEA4521324	ERS1420503	ERX1770962	ERR1700674	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700674/ERR1700674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700674/ERR1700674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700674/ERR1700674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700674/ERR1700674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700674	Fensom sample, mineral layer, OM0C0 treatment, replicate 1
PRJEB8420	SAMEA4521325	ERS1420504	ERX1770963	ERR1700675	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700675/ERR1700675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700675/ERR1700675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700675/ERR1700675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700675/ERR1700675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/005/ERR1700675	Fensom sample, mineral layer, OM0C0 treatment, replicate 2
PRJEB8420	SAMEA4521326	ERS1420505	ERX1770964	ERR1700676	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700676/ERR1700676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700676/ERR1700676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700676/ERR1700676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700676/ERR1700676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/006/ERR1700676	Fensom sample, mineral layer, OM0C0 treatment, replicate 3
PRJEB8420	SAMEA4521327	ERS1420506	ERX1770965	ERR1700677	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700677/ERR1700677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700677/ERR1700677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700677/ERR1700677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700677/ERR1700677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/007/ERR1700677	Fensom sample, organic layer, OM0C0 treatment, replicate 1
PRJEB8420	SAMEA4521328	ERS1420507	ERX1770966	ERR1700678	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700678/ERR1700678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700678/ERR1700678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700678/ERR1700678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700678/ERR1700678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/008/ERR1700678	Fensom sample, organic layer, OM0C0 treatment, replicate 2
PRJEB8420	SAMEA4521329	ERS1420508	ERX1770967	ERR1700679	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700679/ERR1700679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700679/ERR1700679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700679/ERR1700679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700679/ERR1700679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM0C0_O3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700679	Fensom sample, organic layer, OM0C0 treatment, replicate 3
PRJEB8420	SAMEA4521330	ERS1420509	ERX1770968	ERR1700680	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700680/ERR1700680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700680/ERR1700680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700680/ERR1700680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700680/ERR1700680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700680	Fensom sample, mineral layer, OM1C0 treatment, replicate 1
PRJEB8420	SAMEA4521331	ERS1420510	ERX1770969	ERR1700681	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700681/ERR1700681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700681/ERR1700681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700681/ERR1700681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700681/ERR1700681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M2-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M2-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/001/ERR1700681	Fensom sample, mineral layer, OM1C0 treatment, replicate 2
PRJEB8420	SAMEA4521332	ERS1420511	ERX1770970	ERR1700682	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700682/ERR1700682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700682/ERR1700682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700682/ERR1700682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700682/ERR1700682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M3-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_M3-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/002/ERR1700682	Fensom sample, mineral layer, OM1C0 treatment, replicate 3
PRJEB8420	SAMEA4521333	ERS1420512	ERX1770971	ERR1700683	410658	soil metagenome	Illumina HiSeq 2500	unspecified	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700683/ERR1700683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700683/ERR1700683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700683/ERR1700683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700683/ERR1700683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O1-1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739734/fastq/A8_OM1C0_O1-2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700683	Fensom sample, organic layer, OM1C0 treatment, replicate 1
