individual	study	env	host_genus	host_common	accession_id	total_raw_reads	total_post_clip_and_merge	mean_percent_merged_content_post_clip_and_merge	total_post_duplicate_removal_reads	mean_percent_endogenous_dna	mean_polygtrimmed_endogenous_dna_percent	mean_cluster_factor	mean_median_fragment_length	mean_polygtrimmed_median_fragment_length	mean_gc_content_percent	mean_polygtrimmed_gc_content_in_percent	total_non_human_reads	age
ABM006	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579699	21040716	8124616	97.2484976520737	31331	0.828	0.325	2.14640451948549	44	43	53.35	46.32	8057367	ancient
ABM007	This_study	Chimp_3	Pan	Pan	ERR3579701; ERR3579700	29082786	13036934	97.72018809989265	27710	0.426	0.16	1.9814222998821052	43.5	42	58.105000000000004	46.07	12981357	ancient
ABM008	This_study	Chimp_3	Pan	Pan	ERR3579703; ERR3579702	12146404	5056494	98.4172244630575	9869	0.4775	0.1225	2.44568308107472	50	45	67.06	49.519999999999996	5032357	ancient
BAN001	This_study	Neanderthal	Homo	Homo (Neanderthal)	ERR3579704	21382118	10279949	92.0888518026695	90373	1.686	0.927	1.91787370121607	46	45	47.74	45.63	10106625	ancient
BIT001	This_study	Gorilla_3	Gorilla	Gorilla	ERR3579706; ERR3579705	50741434	24433589	92.2329030883914	1093518	4.875	4.4350000000000005	1.090327231972275	53	53	45.785	45.645	23239961	ancient
BSQ001	This_study	PreantibioticHuman_2	Homo	Homo (Modern Human)	ERR3579707	23192334	10907303	89.3075492630947	13976	0.37	0.102	2.89002575844305	43	41	60.72	46.57	10866912	ancient
CDC005	This_study	Chimp_1	Pan	Pan	ERR3579671; ERR3678173	7331672	4550438	95.9186426057592	18297	0.504	0.376	1.2549370786890401	51	50.5	47.295	43.925	4526782	ancient
CDC006	This_study	Chimp_1	Pan	Pan	ERR3579708	34994338	15210915	97.0315000774115	23801	0.596	0.117	3.80664677954708	42	41	59.4	46.89	15120313	ancient
CDC007	This_study	Chimp_1	Pan	Pan	ERR3579709	40118406	15965860	96.8376084971308	18442	0.546	0.08	4.72763257781152	40	37	63.83	47.01	15878673	ancient
CDC008	This_study	Chimp_1	Pan	Pan	ERR3579710	34982516	15191052	95.3771206892057	31992	0.633	0.176	3.0034383595899	42	41	53.42	44.04	15094966	ancient
CDC009	This_study	Chimp_1	Pan	Pan	ERR3579711	31117538	14434761	97.2539136602262	68159	1.03	0.415	2.18100324241846	45	44	46.57	41.87	14286106	ancient
CDC010	This_study	Chimp_1	Pan	Pan	ERR3579712	35582078	15143701	97.1914923571193	55071	0.738	0.318	2.02967078861833	42	41	49.03	43.98	15031925	ancient
CDC011	This_study	Chimp_1	Pan	Pan	ERR3579672; ERR3678174	14708565	9180039	96.7226362626626	26094	0.401	0.263	1.3994988170838	59.5	59.5	49.510000000000005	46.334999999999994	9141614	ancient
DJA002	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579713	30118344	12060645	97.7850438347203	28188	0.684	0.19	2.92706116077764	41	39	55.6	46.17	11978137	ancient
DJA006	This_study	Chimp_3	Pan	Pan	ERR3579716; ERR3579715	32983844	13803162	96.5641797386348	14659	0.349	0.057	3.18286703740793	45	39	73.035	50.725	13754707	ancient
DJA007	This_study	Chimp_3	Pan	Pan	ERR3579718; ERR3579717	39445164	17462968	98.24112368819141	26411	0.3835	0.103	2.50826513621185	47	44.5	61.685	48.165	17395667	ancient
DLV001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579719	13529482	6961447	86.0877774405235	5747421	85.827	81.317	1.03955704654314	70	68	46.07	46.45	986675	ancient
DLV002	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579720	159310	87401	70.8126909303097	2429	4.971	2.383	1.78880197612186	76	76	47.54	44.85	83056	ancient
EBO001	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579721	43456664	15940347	97.586150414417	87315	1.086	0.494	1.98198476779477	49	48	47.95	45.01	15767290	ancient
EBO003	This_study	Gorilla_2	Gorilla	Gorilla	ERR3579722	52834648	20663024	97.3299697082092	22761	0.547	0.081	4.96810333465138	48	46	60.28	49.08	20549945	ancient
EBO008	This_study	Chimp_3	Pan	Pan	ERR3579725; ERR3579724	25882166	11718029	97.19102867924056	98007	1.0675	0.784	1.2726785635885651	53.5	54	50.625	48.18	11592824	ancient
EBO009	This_study	Chimp_3	Pan	Pan	ERR3579727; ERR3579726	8617786	3686370	98.0097765850967	9157	0.4875	0.163	1.96233616582955	51.5	49	62.035	47.305	3668406	ancient
ECO002	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579728; ERR3579730	60873990	24822418	97.3754053295452	42970	0.6415	0.124	3.78727537265636	51	48	54.040000000000006	42.665	24662284	ancient
ECO004	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579731; ERR3579733	52223060	20898179	94.65813592437655	370345	2.3025	1.587	1.730385883517235	63.5	61.5	46.055	43.959999999999994	20400171	ancient
ECO006	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579734	24374026	10587665	89.6823709477019	42397	0.933	0.359	2.32919782060051	69	68	48.47	45.08	10488914	ancient
ECO010	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579735	30449940	12320812	97.9975670434708	10532	0.606	0.047	7.09058108621344	34	31	69.55	40.21	12246134	ancient
EMN001	This_study	PreagriculturalHuman_2	Homo	Homo (Modern Human)	ERR3579736	26673212	12639045	90.8559309663032	10105	0.471	0.044	5.89371598218704	50	47	67.83	46.37	12579489	ancient
ESA003	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579738	21282008	10175536	94.4450985186431	10302	0.452	0.054	4.46854979615609	45	43	69.48	46.94	10129501	ancient
ESA004	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579739	18509590	7856208	97.2286629885563	6710	0.408	0.035	4.77898658718331	41	32	82.14	54.25	7824141	ancient
ESA006	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579740	24509716	11274114	94.2723126624407	9387	0.361	0.048	4.33450516671993	44	39	71.46	49.29	11233426	ancient
ESA007	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579741	20998734	9967273	93.9758447471039	11037	0.641	0.046	5.7843616924889	44	40	78.7	51.43	9903431	ancient
ESA008	This_study	PreantibioticHuman_1	Homo	Homo (Modern Human)	ERR3579742	19624716	9162818	95.7489933773649	8087	0.468	0.033	5.30332632620255	44	38	80.52	50.59	9119930	ancient
EXB002.A1101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839768	471140	283027	NaN	2194	0.99	0.988	1.2771194165907	69	69	43.74	43.61	280225	control
EXB015.A1701	This_study	ExtractionControl	Control	ExtractionControl	ERR3839732	963592	371378	19.827507283684	5680	35.795	1.328	23.4040492957746	60	52	77.86	49.63	238443	control
EXB015.A1901	This_study	ExtractionControl	Control	ExtractionControl	ERR3839733	1237680	455419	17.0601138731586	9783	38.965	3.213	18.1391188796893	62	58	64	47.58	277964	control
EXB015.A2001	This_study	ExtractionControl	Control	ExtractionControl	ERR3839734	1323820	491661	17.3395896766268	8031	37.125	2.403	22.7281783090524	67	62	65.15	47.88	309131	control
EXB015.A2101	This_study	ExtractionControl	Control	ExtractionControl	ERR3839735	2190988	729522	12.0955913598219	6276	38.543	0.83	44.8027405991077	66	65	74.74	49.38	448340	control
EXB015.A2201	This_study	ExtractionControl	Control	ExtractionControl	ERR3839736	1990394	788087	20.5321239913867	8900	35.87	1.668	31.7623595505618	63	63	70.21	49.47	505402	control
EXB015.A2301	This_study	ExtractionControl	Control	ExtractionControl	ERR3839737	611632	253027	16.9262568816767	4015	31.993	0.852	20.1623910336239	63	57	83.45	52.84	172075	control
EXB015.A2401	This_study	ExtractionControl	Control	ExtractionControl	ERR3839738	1266124	517631	18.6588515757364	16706	5.285	8.026	1.637495510595	49	49	44.89	45.42	490275	control
EXB015.A2501	This_study	ExtractionControl	Control	ExtractionControl	ERR3839739	3841918	1638400	33.5238647460937	5486	0.994	1.102	2.9690120306234	63	59	45.05	47.94	1622112	control
EXB015.A2601	This_study	ExtractionControl	Control	ExtractionControl	ERR3839740	3668460	1551629	37.8283081844951	6601	1.054	1.207	2.47810937736707	65	63	44.21	46.09	1535271	control
EXB015.A2801	This_study	ExtractionControl	Control	ExtractionControl	ERR3839741	4949108	2108939	58.0774977370137	8610	1.081	1.137	2.64901277584204	61	62	44.34	46.6	2086131	control
EXB015.A2901	This_study	ExtractionControl	Control	ExtractionControl	ERR3839742	1750630	510324	19.6872966977842	7381	3.791	5.143	2.62118954071264	76	76	44.47	45.89	490977	control
