AvgSpotLen	BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	geo_loc_name	lat_lon	sample_type	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	host
190	SAMN03418252	SRX966718	2015-03-24	2698	1966	SRR1927149	SRS882224	10001	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H1	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
192	SAMN03418253	SRX966737	2015-03-26	5857	3912	SRR1929408	SRS882242	10010	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H10	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
189	SAMN03418254	SRX966738	2015-03-27	1492	1121	SRR1929484	SRS882244	10011	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H11	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
189	SAMN03418255	SRX966739	2015-03-27	857	642	SRR1929485	SRS882245	10012	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H12	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
189	SAMN03418256	SRX967597	2015-03-27	2538	1878	SRR1929563	SRS883017	10013	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H13	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
189	SAMN03418258	SRX967599	2015-03-27	1889	1388	SRR1929574	SRS883018	10015	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H15	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
191	SAMN03418257	SRX967598	2015-03-27	6510	4457	SRR1930121	SRS883019	10014	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H14	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
190	SAMN03418259	SRX967600	2015-03-27	2791	2036	SRR1930122	SRS883020	10016	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H16	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
192	SAMN03418260	SRX967601	2015-03-27	7138	4900	SRR1930123	SRS883021	10017	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H17	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
191	SAMN03418261	SRX967602	2015-03-27	2800	2007	SRR1930128	SRS883022	10018	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H18	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
194	SAMN03418262	SRX967603	2015-03-30	901	666	SRR1930132	SRS883023	10019	Jan-2013	Tanzania	3.6347588 S 35.0828588 E	H19	WGS	PRJNA278393	Metagenome or environmental	public	sra	ncbi	0	Illumina Genome Analyzer IIx	PAIRED	other	METAGENOMIC	human gut metagenome	ILLUMINA	2015-05-21	SRP056480	human-gut	organic feature	feces	Homo sapiens
