sample_number	sample_name	number_reads_after_clipmerge_prior_mapping	number_reads_mapped_prior_rmdup	number_reads_mapped_prior_rmdup_qf	number_duplicates_removed	number_reads_mapped_after_rmdup	percent_endogenous_dna	percent_endogenous_dna_qf	cluster_factor	mean_fold_coverage	std_dev_coverage	percent_coverage_morethan_1x	percent_coverage_morethan_2x	percent_coverage_morethan_3x	percent_coverage_morethan_4x	percent_coverage_morethan_5x	frequency_damage_1st_base_3prime	frequency_damage_2nd_base_3prime	frequency_damage_1st_base_5prime	frequency_damage_2nd_base_5prime	average_fragment_length	median_fragment_length	percent_gc_content	species	mapping_params
Sample 1/107	ABM006.A0101	8057367	5279	1387	46	1341	0.066	0.017	1.034	0.0222	0.1848	1.77	0.33	0.08	0.02	0.01	0.0362	0.0235	0.0224	0.028	39.96	36	44.6	Aggregatibacter_aphrophilus	strict
Sample 2/107	ABM007.A0101	12981357	1244	18	1	17	0.01	0	1.059	3e-4	0.018	0.02	0	0	0	0	0	0	0	0	36.94	35	52.95	Aggregatibacter_aphrophilus	strict
Sample 3/107	ABM008.A0101	5032357	503	7	0	7	0.01	0	1	1e-4	0.0107	0.01	0	0	0	0	0	0	0	0	39.57	36	57.61	Aggregatibacter_aphrophilus	strict
Sample 4/107	BAN001.A0101	10106625	194	9	1	8	0.002	0	1.125	2e-4	0.0132	0.02	0	0	0	0	0	0	0	0	52.63	48	43.23	Aggregatibacter_aphrophilus	strict
Sample 5/107	BIT001.A0101	23239961	5551	2210	51	2159	0.024	0.01	1.024	0.0497	0.2361	4.62	0.3	0.04	0.01	0	0.057	0.0375	0.0378	0.0431	55.6	50	43.63	Aggregatibacter_aphrophilus	strict
Sample 6/107	BSQ001.A0101	10866912	748	180	6	174	0.007	0.002	1.034	0.0029	0.0545	0.28	0.01	0	0	0	0.1951	0.0286	0.1364	0.0645	39.7	36	42.35	Aggregatibacter_aphrophilus	strict
Sample 7/107	CDC005.A0101	4526782	365	10	1	9	0.008	0	1.111	2e-4	0.0144	0.02	0	0	0	0	0	0	0	0	49.33	47	46.62	Aggregatibacter_aphrophilus	strict
Sample 8/107	CDC006.A0101	15120313	1606	36	0	36	0.011	0	1	6e-4	0.0575	0.02	0.01	0	0	0	0	0	0	0	38.69	38	53.63	Aggregatibacter_aphrophilus	strict
Sample 9/107	CDC007.A0101	15878673	1671	31	2	29	0.011	0	1.069	4e-4	0.0313	0.03	0.01	0	0	0	0	0	0	0	36.55	35	51.84	Aggregatibacter_aphrophilus	strict
Sample 10/107	CDC008.A0101	15094966	1230	43	1	42	0.008	0	1.024	7e-4	0.0276	0.07	0	0	0	0	0	0	0	0	40.43	34	43.51	Aggregatibacter_aphrophilus	strict
