Genus	Phylum	Gram_Stain	Oxygen_Tolerance	Motility	Metabolism
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Halobellus	Euryarchaeota	NA	NA	NA	NA
Natronobacterium	Euryarchaeota	Gram_Negative	Anaerobe	NA	NA
Candidatus Methanoperedens	Euryarchaeota	NA	NA	NA	NA
Natronomonas	Euryarchaeota	Gram_Negative	Anaerobe	Motile	NA
Candidatus Nitrosocaldus	Thaumarchaeota	NA	NA	NA	NA
Halalkalicoccus	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Acidilobus	Crenarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Methanothermococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Candidatus Methanomethylicus	Candidatus Verstraetearchaeota	NA	NA	NA	NA
Halopiger	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Methanotorris	Euryarchaeota	Gram_Negative	Anaerobe	NA	Methanogen
Halobaculum	Euryarchaeota	Gram_Negative	Anaerobe	NA	NA
Methanohalophilus	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Halogeometricum	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	NA
Aciduliprofundum	Euryarchaeota	Gram_Negative	Anaerobe	Motile	NA
Candidatus Altiarchaeum	Euryarchaeota	NA	NA	NA	NA
Methanococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Methanococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Hydrogenotrophic, Methanogen, Nitrogen fixation
Candidatus Methanomethylophilus	Euryarchaeota	NA	NA	NA	Methanogen
Thermofilum	Crenarchaeota	Gram_Negative	Anaerobe	Motile	NA
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Woesearchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Methanogenium	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Methanomassiliicoccus	Euryarchaeota	Gram_Negative	NA	NA	NA
Pyrococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Sulfur respiration
Pyrococcus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Chitin degradation
Thermogymnomonas	Euryarchaeota	NA	NA	NA	NA
Methanothrix	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Methanothrix	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Acetotrophic, Methanogen
Ferroglobus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Iron oxidizer
Caldivirga	Crenarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Methanoregula	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Acidianus	Crenarchaeota	Gram_Negative	Anaerobe	Nonmotile	Sulfur metabolizing
Acidianus	Crenarchaeota	Gram_Negative	Anaerobe	Nonmotile	Iron oxidizer
Candidatus Methanosuratus	Candidatus Verstraetearchaeota	NA	NA	NA	NA
Haloprofundus	Euryarchaeota	NA	NA	NA	NA
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Thorarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Nanoarchaeum	Nanoarchaeota	Gram_Negative	Anaerobe	NA	NA
Candidatus Nitrosotenuis	Thaumarchaeota	NA	NA	NA	NA
Pyrobaculum	Crenarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Nitrate reducer
Ignicoccus	Crenarchaeota	Gram_Negative	Anaerobe	Motile	NA
Halodesulfurarchaeum	Euryarchaeota	NA	NA	NA	NA
Halanaeroarchaeum	Euryarchaeota	NA	NA	NA	NA
Acidiplasma	Euryarchaeota	Gram_Negative	NA	NA	NA
Halogranum	Euryarchaeota	Gram_Negative	NA	NA	NA
Candidatus Korarchaeum	Candidatus Korarchaeota	Gram_Negative	NA	NA	NA
Methanohalobium	Euryarchaeota	Gram_Negative	Anaerobe	NA	Methanogen
Nitrososphaera	Thaumarchaeota	Gram_Positive	Anaerobe	NA	Ammonia-oxidizer
Methanomicrobium	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Halonotius	Euryarchaeota	NA	NA	NA	NA
Halorhabdus	Euryarchaeota	Gram_Negative	Anaerobe	Motile	NA
Ferroplasma	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Natronolimnobius	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Methanothermus	Euryarchaeota	Gram_Positive	Anaerobe	Motile	Methanogen
Methanocorpusculum	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Methanogen
unclassified	Candidatus Lokiarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Lokiarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
