Taxon	Sample	Position	Strand	Frequency	Group
fusobacterium_nucleatum	ABM006.A0101	-1	3pG>A	0.055187637969095	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-2	3pG>A	0.047697368421053	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-3	3pG>A	0.043960558751027	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-4	3pG>A	0.03822629969419	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-5	3pG>A	0.043388429752066	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-6	3pG>A	0.038987971795935	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-7	3pG>A	0.026561378320172	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-8	3pG>A	0.041440743609605	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-9	3pG>A	0.030679611650486	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-10	3pG>A	0.030024726245143	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-11	3pG>A	0.029725609756098	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-12	3pG>A	0.023691249522354	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-13	3pG>A	0.025700934579439	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-14	3pG>A	0.028482247366368	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-15	3pG>A	0.02389486260454	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-16	3pG>A	0.026597582037997	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-17	3pG>A	0.02744948532215	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-18	3pG>A	0.021615472127418	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-19	3pG>A	0.020429362880887	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-20	3pG>A	0.021509433962264	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-21	3pG>A	0.018626309662398	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-22	3pG>A	0.019008825526137	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-23	3pG>A	0.028190476190476	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-24	3pG>A	0.01999231064975	Gorilla
fusobacterium_nucleatum	ABM006.A0101	-25	3pG>A	0.016410256410256	Gorilla
fusobacterium_nucleatum	ABM006.A0101	1	5pC>T	0.060348162475822	Gorilla
fusobacterium_nucleatum	ABM006.A0101	2	5pC>T	0.059593679458239	Gorilla
fusobacterium_nucleatum	ABM006.A0101	3	5pC>T	0.049522154648132	Gorilla
fusobacterium_nucleatum	ABM006.A0101	4	5pC>T	0.038576779026217	Gorilla
fusobacterium_nucleatum	ABM006.A0101	5	5pC>T	0.051238975220496	Gorilla
fusobacterium_nucleatum	ABM006.A0101	6	5pC>T	0.030864197530864	Gorilla
fusobacterium_nucleatum	ABM006.A0101	7	5pC>T	0.034123563218391	Gorilla
fusobacterium_nucleatum	ABM006.A0101	8	5pC>T	0.030835284933646	Gorilla
fusobacterium_nucleatum	ABM006.A0101	9	5pC>T	0.031977891827872	Gorilla
fusobacterium_nucleatum	ABM006.A0101	10	5pC>T	0.024877365101612	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-1	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-2	3pG>A	0.066666666666667	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-3	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-4	3pG>A	0.071428571428572	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-5	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-6	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-7	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-8	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-9	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-10	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-11	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-12	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-13	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-14	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-15	3pG>A	0.090909090909091	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-16	3pG>A	0.058823529411765	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-17	3pG>A	0	Gorilla
porphyromonas_gingivalis	ABM006.A0101	-18	3pG>A	0.055555555555556	Gorilla
