sample_name	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
DJA002.A0102.SG1.1	145419258	51889467	51266970	98.7983333333333	622478	96146	9475	86671	0.185333333333333	1.105	0.000433333333333	0.038066666666667	0.036666666666667	0	0	0	0	31	0.033154284104855	63.8633333333333	0.019933333333333	0.018966666666667	0.018733333333333	0.018766666666667	44.8466666666667	38	47.6233333333333	51793321
EBO003.A0102.SG1.1	163054200	57411964	55586335	96.8223333333333	1825572	81686	10864	70822	0.142666666666667	1.14466666666667	0.000433333333333	0.0262	0.043333333333333	0	0	0	0	46	0.061661335425594	111.616666666667	0.009166666666667	0.0121	0.012666666666667	0.01	61.5533333333333	61.3333333333333	47.8866666666667	57330278
ECO002.B0102.SG1.1	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.345666666666667	1.147	0.0008	0.031033333333333	0.08	0	0	0	0	64	0.098155189409943	122.276666666667	0.010433333333333	0.009766666666667	0.010366666666667	0.007	67.79	75.3333333333333	43.7833333333333	37846394
ECO004.B0103.SG1.1	134246266	56901161	45232730	79.5183333333333	11668388	3621389	508285	3113104	6.37066666666667	1.15033333333333	0.0235	0.224033333333333	2.21	0.09	0.006666666666667	0.006666666666667	0	999	1.45404067837528	61.95	0.003966666666667	0.003666666666667	0.003566666666667	0.002533333333333	70.11	74.6666666666667	44.15	53279772
EMN001.A0102.SG1.1	208944200	99227533	87965664	88.6336666666667	11261832	65633	8428	57205	0.066333333333333	1.14066666666667	0.0004	0.0251	0.036666666666667	0	0	0	0	26	NaN	62.87	0.014333333333333	0.007866666666667	0.011133333333333	0.008266666666667	65.34	73.6666666666667	45.4866666666667	99161900
FUM002.A0103.SG1.1	61703682	23327553	22884354	98.092	443166	266953	36040	230913	1.14666666666667	1.147	0.001866666666667	0.045833333333333	0.176666666666667	0.006666666666667	0	0	0	228	0.337296557828877	173.246666666667	0.003733333333333	0.004433333333333	0.0043	0.0027	74.7966666666667	76	47.2	23060600
GOY005.A0102	443150763	332990717	0	0	0	6877083	1185772	5691311	2.065	1.208	0.1116	0.7186	9.66	1.06	0.13	0.03	0.02	2110	7.9415776449997	71.17	0.0121	0.0066	0.0042	0.0032	60.72	66	45.67	326113634
KNP001.A0101	16260702	8579288	6907695	80.516	1671590	154717	15438	139279	1.803	1.111	0.0028	0.0572	0.27	0	0	0	0	1	0.00307803729857	1.1	0.0139	0.0141	0.0102	0.0111	62.32	59	43.14	8424571
KNP001.A0101.161208	286236850	145259052	124914025	85.994	20345002	2826085	235592	2590493	1.946	1.091	0.0508	0.3943	4.76	0.18	0.02	0.01	0.01	45	0.154867523688816	3.05	0.0131	0.0132	0.0098	0.0112	60.74	57	43.54	142432967
KNP004.A0101	19393382	11064963	7829589	70.76	3235370	71750	7800	63950	0.648	1.122	0.0013	0.0376	0.12	0	0	0	0	12	0.046049852133502	36.32	0.0105	0.0102	0.0073	0.008	61.39	57	43.08	10993213
KNP004.A0101.161208	460435386	248125205	197730673	79.69	50394474	1861254	196594	1664660	0.75	1.118	0.032	0.2929	3.03	0.09	0.01	0.01	0.01	280	1.07936507936508	33.7	0.0109	0.01	0.0086	0.0085	59.58	55	43.56	246263951
KNP005.A0101	16828080	9453826	6504711	68.805	2949104	47082	5138	41944	0.498	1.122	0.0009	0.0309	0.09	0	0	0	0	5	0.016295491580663	18.49	0.0162	0.0141	0.014	0.0121	65.05	63	42.34	9406744
KNP005.A0101.161011	85352555	80378233	0	0	0	537226	46446	490780	0.668	1.095	0.0102	0.1544	0.98	0.01	0	0	0	36	0.122035125837407	12.02	0.0189	0.0137	0.0121	0.0115	64.05	59	41.7	79841007
KNP009.A0101	16758892	9682068	6645058	68.633	3037006	14409	1280	13129	0.149	1.097	0.0003	0.0174	0.03	0	0	0	0	0	NaN	0	0.0143	0.0124	0.0116	0.0146	64.15	61	42.43	9667659
KNP009.A0101.161208	208356046	114152943	87755539	76.875	26397392	188506	13335	175171	0.165	1.076	0.0035	0.0692	0.34	0	0	0	0	38	0.140020520248657	39.84	0.016	0.0165	0.0116	0.0131	62.13	58	42.59	113964437
LIB007.A0115	1985400	364172	104949	28.819	258418	103702	100088	3614	28.476	28.695	0.0001	0.2132	0	0	0	0	0	0	NaN	0	0.0293	0.0252	0.0175	0.0208	58.67	62	93.35	260470
LIB007.A0116	1227864	251819	26141	10.381	225230	99504	96659	2845	39.514	34.975	0.0001	0.1513	0	0	0	0	0	0	NaN	0	0.0175	0.0217	0.0171	0.0066	64.7	68	84.9	152315
LIB007.A0135.SG1.1	2830970	838216	101666	12.129	734694	355189	340464	14725	42.374	24.121	0.0003	0.2458	0.02	0	0	0	0	6	0.02667632325427	81.21	0.0036	0.0061	0.0027	0.0036	69.09	74	53.34	483027
LIB025.A0301	1985302	737031	625246	84.833	111734	24280	4742	19538	3.294	1.243	0.0004	0.0228	0.03	0	0	0	0	3	0.010924014726296	30.68	0.0055	0.0036	0.005	0.0024	56.42	53	42.8	712751
LIB025.A1001	2785008	1377612	560049	40.654	806232	368292	346338	21954	26.734	16.776	0.0004	0.3484	0.03	0	0	0	0	5	0.026797030599312	65.55	0.0085	0.0127	0.0099	0.0069	57.66	53	57.2	1009320
LIB025.A1301	1256380	545916	125328	22.957	410694	181248	167531	13717	33.201	13.213	0.0003	0.3198	0.01	0	0	0	0	11	0.046230913151065	174.22	0.0041	0.0148	0.0012	0.0045	59.94	57	63.2	364668
MTM009.A0102	23621308	9686956	9368911	96.717	310532	116977	46388	70589	1.208	1.657	0.0011	0.3028	0.09	0	0	0	0	22	0.070130967469371	65.74	0.02	0.02	0.0228	0.0195	46.8	42	49.51	9569979
MTM009.A0102.SG1.1	356517772	149068856	144850886	97.167	4217570	980682	89936	890746	0.658	1.09833333333333	0.004666666666667	0.129	0.43	0.006666666666667	0	0	0	406	0.477437785422576	100.01	0.0241	0.021666666666667	0.021533333333333	0.017766666666667	48.4033333333333	43	45.8366666666667	148088174
OAK002.A0102.SG1.1	219760056	72308980	70497473	97.493	1811434	133118	16935	116183	0.184333333333333	1.14133333333333	0.0006	0.030966666666667	0.06	0	0	0	0	60	0.078439656386424	129.253333333333	0.027933333333333	0.021366666666667	0.027	0.0206	46.14	36	43.4666666666667	72175862
OAK005.A0102.SG1.1	65053436	26750722	24849348	92.913	1901312	17092	1707	15385	0.064333333333333	1.10466666666667	6.66666666666667E-05	0.012166666666667	0.006666666666667	0	0	0	0	32	0.040859436296699	536.383333333333	0.020866666666667	0.027466666666667	0.023	0.0113	47.49	34.6666666666667	51.2433333333333	26733630
OME002.A0102.SG1.1	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
OME003.A0102.SG1.1	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
OME005.A0102.SG1.1	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
PES001.B0103.SG1.1	99729056	50328545	40188358	79.9016666666667	10140152	224031	30232	193799	0.443666666666667	1.148	0.001566666666667	0.0423	0.153333333333333	0.003333333333333	0	0	0	167	0.26738688715875	180.57	0.005433333333333	0.0051	0.003933333333333	0.002666666666667	75.9533333333333	76	45.52	50104514
TAF008.B0102.SG1.1	128930050	52474486	49414725	94.1743333333333	3059722	113693	18015	95678	0.217	1.17133333333333	0.000666666666667	0.0287	0.06	0	0	0	0	37	0.051662743677953	77.6566666666667	0.0132	0.0094	0.0106	0.007	63	66.3333333333333	44.9733333333333	52360793
