Genus	Sum	Percent	Protein	Host_Genus
[Clostridium]	19	0.0266389994952611	pc1p1	Homo
[Eubacterium]	4559	6.39195782625764	pc1p1	Homo
Absiella	1	0.00140205260501374	pc1p1	Homo
Actinobaculum	3	0.00420615781504122	pc1p1	Homo
Actinomyces	241	0.337894677808311	pc1p1	Homo
Agrobacterium	1	0.00140205260501374	pc1p1	Homo
Anaerococcus	238	0.33368851999327	pc1p1	Homo
Anaerolineaceae	108	0.151421681341484	pc1p1	Homo
Anaerosphaera	36	0.0504738937804946	pc1p1	Homo
Anaerostipes	2	0.00280410521002748	pc1p1	Homo
Angelakisella	29	0.0406595255453985	pc1p1	Homo
bacterium	1	0.00140205260501374	pc1p1	Homo
Bifidobacterium	3	0.00420615781504122	pc1p1	Homo
Blautia	18	0.0252369468902473	pc1p1	Homo
Bordetella	1	0.00140205260501374	pc1p1	Homo
Bradyrhizobium	2	0.00280410521002748	pc1p1	Homo
Catonella	11807	16.5540351073972	pc1p1	Homo
Clostridiales	31	0.0434636307554259	pc1p1	Homo
Clostridioides	297	0.416409623689081	pc1p1	Homo
Clostridium	20	0.0280410521002748	pc1p1	Homo
Coriobacteriales	43	0.0602882620155908	pc1p1	Homo
Corynebacterium	3	0.00420615781504122	pc1p1	Homo
Cutibacterium	1	0.00140205260501374	pc1p1	Homo
Denitrovibrio	2	0.00280410521002748	pc1p1	Homo
Desulfitobacterium	13	0.0182266838651786	pc1p1	Homo
Desulfofarcimen	1	0.00140205260501374	pc1p1	Homo
Desulfosporosinus	13	0.0182266838651786	pc1p1	Homo
Eggerthella	1	0.00140205260501374	pc1p1	Homo
Eggerthia	528	0.740283775447255	pc1p1	Homo
Enterococcus	32	0.0448656833604397	pc1p1	Homo
Eubacterium	13	0.0182266838651786	pc1p1	Homo
Faecalitalea	14	0.0196287364701924	pc1p1	Homo
Fenollaria	3	0.00420615781504122	pc1p1	Homo
Filifactor	3635	5.09646121922495	pc1p1	Homo
Finegoldia	4	0.00560821042005496	pc1p1	Homo
Firmicutes	2	0.00280410521002748	pc1p1	Homo
Fournierella	14	0.0196287364701924	pc1p1	Homo
Fusobacterium	24	0.0336492625203298	pc1p1	Homo
Gemella	57	0.0799169984857832	pc1p1	Homo
Histophilus	4	0.00560821042005496	pc1p1	Homo
Intestinimonas	1	0.00140205260501374	pc1p1	Homo
Johnsonella	328	0.459873254444507	pc1p1	Homo
Lachnoanaerobaculum	299	0.419213728899108	pc1p1	Homo
Lachnospiraceae	1076	1.50860860299478	pc1p1	Homo
Lactobacillus	15	0.0210307890752061	pc1p1	Homo
Leptotrichia	38	0.0532779989905221	pc1p1	Homo
Mageeibacillus	45	0.0630923672256183	pc1p1	Homo
Methanobrevibacter	49	0.0687005776456733	pc1p1	Homo
Mogibacterium	384	0.538388200325276	pc1p1	Homo
Mycobacterium	5	0.0070102630250687	pc1p1	Homo
Olsenella	7516	10.5378273792833	pc1p1	Homo
Oribacterium	1057	1.48196960349952	pc1p1	Homo
Parvimonas	143	0.200493522516965	pc1p1	Homo
Peptoanaerobacter	3952	5.5409118950143	pc1p1	Homo
Peptoniphilus	1225	1.71751444114183	pc1p1	Homo
Peptostreptococcaceae	3099	4.34496102293758	pc1p1	Homo
Peptostreptococcus	207	0.290224889237844	pc1p1	Homo
Pseudomonas	1	0.00140205260501374	pc1p1	Homo
Pseudopropionibacterium	105	0.147215523526443	pc1p1	Homo
Pseudoramibacter	503	0.705232460321911	pc1p1	Homo
Roseburia	12	0.0168246312601649	pc1p1	Homo
Schaalia	6	0.00841231563008244	pc1p1	Homo
Sebaldella	1	0.00140205260501374	pc1p1	Homo
Selenomonas	509	0.713644775951994	pc1p1	Homo
Shuttleworthia	69	0.0967416297459481	pc1p1	Homo
Slackia	7595	10.6485895350794	pc1p1	Homo
Solobacterium	20	0.0280410521002748	pc1p1	Homo
Spirochaeta	1	0.00140205260501374	pc1p1	Homo
Streptobacillus	2	0.00280410521002748	pc1p1	Homo
Streptococcus	2919	4.09259155403511	pc1p1	Homo
Tissierellia	67	0.0939375245359206	pc1p1	Homo
Treponema	18119	25.403791150244	pc1p1	Homo
Trueperella	15	0.0210307890752061	pc1p1	Homo
Tyzzerella	112	0.157029891761539	pc1p1	Homo
Urinacoccus	3	0.00420615781504122	pc1p1	Homo
Virgibacillus	2	0.00280410521002748	pc1p1	Homo
Total	71324	100	pc1p1	Homo
[Clostridium]	16	0.081276033729554	pc1p1	Pan
[Eubacterium]	1635	8.3053946967388	pc1p1	Pan
Acetobacterium	1	0.00507975210809712	pc1p1	Pan
Actinomyces	69	0.350502895458702	pc1p1	Pan
Anaerococcus	14	0.0711165295133598	pc1p1	Pan
Anaerolineaceae	6	0.0304785126485827	pc1p1	Pan
Anaerostipes	1	0.00507975210809712	pc1p1	Pan
Angelakisella	10	0.0507975210809712	pc1p1	Pan
Atopobium	2	0.0101595042161942	pc1p1	Pan
Bifidobacterium	9	0.0457177689728741	pc1p1	Pan
Blautia	14	0.0711165295133598	pc1p1	Pan
Catonella	2042	10.3728538047343	pc1p1	Pan
Clostridiales	4	0.0203190084323885	pc1p1	Pan
Clostridium	8	0.040638016864777	pc1p1	Pan
Coriobacteriaceae	2	0.0101595042161942	pc1p1	Pan
Coriobacteriales	1	0.00507975210809712	pc1p1	Pan
Desulfarculus	1	0.00507975210809712	pc1p1	Pan
Desulfitobacterium	4	0.0203190084323885	pc1p1	Pan
Eggerthella	3	0.0152392563242914	pc1p1	Pan
Eggerthia	46	0.233668596972468	pc1p1	Pan
Enterococcus	2	0.0101595042161942	pc1p1	Pan
Erysipelotrichaceae	3	0.0152392563242914	pc1p1	Pan
Eubacterium	2	0.0101595042161942	pc1p1	Pan
Filifactor	803	4.07904094280199	pc1p1	Pan
Fournierella	1	0.00507975210809712	pc1p1	Pan
Fusobacterium	3	0.0152392563242914	pc1p1	Pan
Gemella	8	0.040638016864777	pc1p1	Pan
Gordonibacter	1	0.00507975210809712	pc1p1	Pan
Intestinimonas	4	0.0203190084323885	pc1p1	Pan
Johnsonella	24	0.121914050594331	pc1p1	Pan
Lachnoanaerobaculum	178	0.904195875241288	pc1p1	Pan
Lachnospiraceae	153	0.77720207253886	pc1p1	Pan
Lawsonella	1	0.00507975210809712	pc1p1	Pan
Mageeibacillus	5	0.0253987605404856	pc1p1	Pan
Mogibacterium	19	0.0965152900538454	pc1p1	Pan
Ndongobacter	7	0.0355582647566799	pc1p1	Pan
Olsenella	2640	13.4105455653764	pc1p1	Pan
Oribacterium	310	1.57472315351011	pc1p1	Pan
Parvimonas	1	0.00507975210809712	pc1p1	Pan
Peptoanaerobacter	861	4.37366656507162	pc1p1	Pan
Peptoniphilus	304	1.54424464086153	pc1p1	Pan
Peptostreptococcaceae	750	3.80981408107284	pc1p1	Pan
Peptostreptococcus	4	0.0203190084323885	pc1p1	Pan
Pseudonocardia	1	0.00507975210809712	pc1p1	Pan
Pseudoramibacter	216	1.09722645534898	pc1p1	Pan
Roseburia	1	0.00507975210809712	pc1p1	Pan
Schaalia	10	0.0507975210809712	pc1p1	Pan
Selenomonas	15	0.0761962816214569	pc1p1	Pan
Shuttleworthia	998	5.06959260388093	pc1p1	Pan
Slackia	7420	37.6917606420807	pc1p1	Pan
Stomatobaculum	17	0.0863557858376511	pc1p1	Pan
