Genus	Sum	Percent	Protein	Host_Genus
Abiotrophia	14376	17.607721137594	pc2n1	Homo
Amycolatopsis	1	0.00122479974524165	pc2n1	Homo
Catonella	599	0.73365504739975	pc2n1	Homo
Clostridium	2	0.00244959949048331	pc2n1	Homo
Filifactor	636	0.778972637973691	pc2n1	Homo
Hahella	1	0.00122479974524165	pc2n1	Homo
Lentzea	1	0.00122479974524165	pc2n1	Homo
Leptotrichia	1	0.00122479974524165	pc2n1	Homo
Micromonospora	1	0.00122479974524165	pc2n1	Homo
Modestobacter	3	0.00367439923572496	pc2n1	Homo
Nakamurella	1	0.00122479974524165	pc2n1	Homo
Oribacterium	645	0.789995835680866	pc2n1	Homo
Sorangium	9	0.0110231977071749	pc2n1	Homo
Streptococcus	65360	80.0529113489944	pc2n1	Homo
Streptomyces	9	0.0110231977071749	pc2n1	Homo
Streptosporangium	1	0.00122479974524165	pc2n1	Homo
Total	81646	100	pc2n1	Homo
Catonella	2	1.86915887850467	pc2n1	Pan
Filifactor	22	20.5607476635514	pc2n1	Pan
Micromonospora	1	0.934579439252336	pc2n1	Pan
Mycolicibacterium	1	0.934579439252336	pc2n1	Pan
Nakamurella	1	0.934579439252336	pc2n1	Pan
Oribacterium	73	68.2242990654206	pc2n1	Pan
Streptococcus	7	6.54205607476635	pc2n1	Pan
Total	107	100	pc2n1	Pan
Abiotrophia	1	1.40845070422535	pc2n1	Gorilla
Bacillus	1	1.40845070422535	pc2n1	Gorilla
Filifactor	3	4.22535211267606	pc2n1	Gorilla
Frankia	1	1.40845070422535	pc2n1	Gorilla
Hahella	1	1.40845070422535	pc2n1	Gorilla
Micromonospora	1	1.40845070422535	pc2n1	Gorilla
Oribacterium	8	11.2676056338028	pc2n1	Gorilla
Streptococcus	54	76.056338028169	pc2n1	Gorilla
Streptomyces	1	1.40845070422535	pc2n1	Gorilla
Total	71	100	pc2n1	Gorilla
Bdellovibrio	1	4.34782608695652	pc2n1	Alouatta
Catonella	20	86.9565217391304	pc2n1	Alouatta
Sorangium	1	4.34782608695652	pc2n1	Alouatta
Streptomyces	1	4.34782608695652	pc2n1	Alouatta
Total	23	100	pc2n1	Alouatta
Gemella	1	0.000905600231833659	pc2n2	Homo
Streptococcus	110423	99.9990943997682	pc2n2	Homo
Total	110424	100	pc2n2	Homo
Streptococcus	12	100	pc2n2	Pan
Total	12	100	pc2n2	Pan
Streptococcus	436	100	pc2n2	Gorilla
Total	436	100	pc2n2	Gorilla
Streptococcus	1	100	pc2n2	Alouatta
Total	1	100	pc2n2	Alouatta
Abiotrophia	30	0.0151594777054615	pc2n3	Homo
Actinomyces	14	0.00707442292921535	pc2n3	Homo
Aerococcus	7	0.00353721146460767	pc2n3	Homo
Alistipes	1	0.000505315923515382	pc2n3	Homo
Anaerococcus	2	0.00101063184703076	pc2n3	Homo
Anoxybacillus	1	0.000505315923515382	pc2n3	Homo
Bacillus	1	0.000505315923515382	pc2n3	Homo
Bacteroides	2	0.00101063184703076	pc2n3	Homo
Bifidobacterium	13	0.00656910700569996	pc2n3	Homo
Burkholderia	1	0.000505315923515382	pc2n3	Homo
Clostridium	1	0.000505315923515382	pc2n3	Homo
Corynebacterium	14	0.00707442292921535	pc2n3	Homo
Eggerthia	39	0.0197073210170999	pc2n3	Homo
Enterococcus	1	0.000505315923515382	pc2n3	Homo
Exiguobacterium	1	0.000505315923515382	pc2n3	Homo
Haloquadratum	1	0.000505315923515382	pc2n3	Homo
Lachnospiraceae	1	0.000505315923515382	pc2n3	Homo
Lactobacillus	1	0.000505315923515382	pc2n3	Homo
Nostoc	1	0.000505315923515382	pc2n3	Homo
Ottowia	4	0.00202126369406153	pc2n3	Homo
Parabacteroides	1	0.000505315923515382	pc2n3	Homo
Prevotella	97	0.049015644580992	pc2n3	Homo
Psychrobacter	1	0.000505315923515382	pc2n3	Homo
Schaalia	1	0.000505315923515382	pc2n3	Homo
Selenomonas	5	0.00252657961757691	pc2n3	Homo
Simiduia	2	0.00101063184703076	pc2n3	Homo
Streptococcus	196683	99.3870517847758	pc2n3	Homo
Treponema	970	0.49015644580992	pc2n3	Homo
Total	197896	100	pc2n3	Homo
Actinomyces	1	0.606060606060606	pc2n3	Pan
Bacillus	9	5.45454545454545	pc2n3	Pan
Bacteroidales	1	0.606060606060606	pc2n3	Pan
Bifidobacterium	1	0.606060606060606	pc2n3	Pan
Clostridium	12	7.27272727272727	pc2n3	Pan
Eggerthia	23	13.9393939393939	pc2n3	Pan
Oscillatoria	1	0.606060606060606	pc2n3	Pan
Prevotella	19	11.5151515151515	pc2n3	Pan
Streptococcus	92	55.7575757575758	pc2n3	Pan
Treponema	6	3.63636363636364	pc2n3	Pan
Total	165	100	pc2n3	Pan
Anoxybacillus	22	2.03703703703704	pc2n3	Gorilla
Bacillus	9	0.833333333333333	pc2n3	Gorilla
Bacteroides	5	0.462962962962963	pc2n3	Gorilla
Bifidobacterium	18	1.66666666666667	pc2n3	Gorilla
Cellulosimicrobium	1	0.0925925925925926	pc2n3	Gorilla
Clostridium	9	0.833333333333333	pc2n3	Gorilla
Eggerthia	13	1.2037037037037	pc2n3	Gorilla
Enterococcus	1	0.0925925925925926	pc2n3	Gorilla
Hymenobacter	1	0.0925925925925926	pc2n3	Gorilla
Prevotella	4	0.37037037037037	pc2n3	Gorilla
Streptococcus	993	91.9444444444444	pc2n3	Gorilla
Treponema	4	0.37037037037037	pc2n3	Gorilla
Total	1080	100	pc2n3	Gorilla
Actinomyces	1	1.51515151515152	pc2n3	Alouatta
Bacteroides	2	3.03030303030303	pc2n3	Alouatta
Bifidobacterium	1	1.51515151515152	pc2n3	Alouatta
Burkholderia	2	3.03030303030303	pc2n3	Alouatta
Prevotella	2	3.03030303030303	pc2n3	Alouatta
Streptococcus	58	87.8787878787879	pc2n3	Alouatta
Total	66	100	pc2n3	Alouatta
[Clostridium]	19	0.0157266541957058	pc2n4	Homo
Actinomyces	22528	18.6468455642558	pc2n4	Homo
Agromyces	7	0.00579403049315477	pc2n4	Homo
Atopobium	67	0.0554571490059099	pc2n4	Homo
Bacillus	5	0.00413859320939626	pc2n4	Homo
Blautia	1	0.000827718641879252	pc2n4	Homo
Brachybacterium	11	0.00910490506067178	pc2n4	Homo
Burkholderia	1	0.000827718641879252	pc2n4	Homo
Clostridium	2	0.0016554372837585	pc2n4	Homo
Eggerthia	97	0.0802887082622875	pc2n4	Homo
endosymbiont	2	0.0016554372837585	pc2n4	Homo
Enterococcus	2	0.0016554372837585	pc2n4	Homo
Fusobacterium	1	0.000827718641879252	pc2n4	Homo
Granulicatella	422	0.349297266873045	pc2n4	Homo
Hungatella	4	0.00331087456751701	pc2n4	Homo
Intrasporangium	2	0.0016554372837585	pc2n4	Homo
Johnsonella	64	0.0529739930802722	pc2n4	Homo
Micropruina	2	0.0016554372837585	pc2n4	Homo
Mycobacterium	1	0.000827718641879252	pc2n4	Homo
Nakamurella	4	0.00331087456751701	pc2n4	Homo
Nocardioides	3	0.00248315592563776	pc2n4	Homo
