pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	192464.2898064647	2.6587816571869602	0.046926205954689874	0.025	0.25	
Pan vs Gorilla	1	418775.38145580667	4.182542501935841	0.08015214095366624	0.004	0.04	.
Pan vs Alouatta	1	334240.90040098573	5.177932423648095	0.17746056672101584	0.001	0.01	*
Pan vs Homo	1	600743.2037424383	8.287243549124986	0.08606792804175457	0.001	0.01	*
Control vs Gorilla	1	439404.2044442093	4.706293175580215	0.07055246141758467	0.001	0.01	*
Control vs Alouatta	1	222746.79580529933	3.3431076097843184	0.08086251380370676	0.019	0.19	
Control vs Homo	1	548280.8351915134	7.596605390738145	0.0693142398311921	0.001	0.01	*
Gorilla vs Alouatta	1	173664.41201851884	1.620707936704266	0.0482056457512875	0.166	1	
Gorilla vs Homo	1	106544.04678781629	1.2384620517211802	0.01273633936191259	0.246	1	
Alouatta vs Homo	1	113097.35131024942	1.627931533777289	0.022110244031919666	0.135	1	
