pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	82486.56713033006	1.932495350913272	0.034550494105243204	0.08	0.8	
Pan vs Gorilla	1	392345.21220701985	6.643663961248349	0.12158159756563608	0.001	0.01	*
Pan vs Alouatta	1	249062.9496942658	5.061947186304449	0.17417783997246786	0.004	0.04	.
Pan vs Homo	1	461122.6148551567	8.270321501441826	0.08590728037942578	0.001	0.01	*
Control vs Gorilla	1	276830.6761010903	5.534460498707253	0.08195016970355741	0.003	0.03	.
Control vs Alouatta	1	200720.2073897797	5.269660926070169	0.12178650845158749	0.001	0.01	*
Control vs Homo	1	395121.2560833696	7.790765085550192	0.07096011289728732	0.001	0.01	*
Gorilla vs Alouatta	1	172075.4299215379	2.7850348309143325	0.08006416680196055	0.025	0.25	
Gorilla vs Homo	1	107192.89275984108	1.804459001985732	0.01844965986621424	0.069	0.6900000000000001	
Alouatta vs Homo	1	136816.25433698	2.432870062409901	0.032685425946493894	0.027	0.27	
