genus	individual	species	metric	initial_single_genome	superreference	difference
Actinomyces	DJA002	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	14.7427	8.026970229	6.715729771
Actinomyces	DJA002	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1269950	747526	522424
Actinomyces	DJA002	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	84.68	81.62002926	3.059970737
Actinomyces	EBO003	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	34.6893	21.98997599	12.69932401
Actinomyces	EBO003	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	2942768	2017761	925007
Actinomyces	EBO003	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	81.84	79.79938795	2.040612053
Actinomyces	ECO002	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	9.861	6.220927408	3.640072592
Actinomyces	ECO002	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	902739	603742	298997
Actinomyces	ECO002	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	88.58	85.03349811	3.546501887
Actinomyces	ECO004	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	2.4096	1.383190988	1.026409012
Actinomyces	ECO004	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	226421	136745	89676
Actinomyces	ECO004	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	71.68	60.39778071	11.28221929
Actinomyces	EMN001	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	15.9759	7.622607833	8.353292167
Actinomyces	EMN001	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1043572	513021	530551
Actinomyces	EMN001	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	82.14	78.55662057	3.583379426
Actinomyces	FUM002	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	5.2324	1.257609114	3.974790886
Actinomyces	FUM002	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	445099	111629	333470
Actinomyces	FUM002	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	65.47	54.23732221	11.23267779
Actinomyces	GOY005	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	25.029	7.875710258	17.15328974
Actinomyces	GOY005	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	2303575	767548	1536027
Actinomyces	GOY005	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	85.3	81.59406217	3.705937827
Actinomyces	JAE008	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	52.0705	40.20854802	11.86195198
Actinomyces	JAE008	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	2217320	1781524	435796
Actinomyces	JAE008	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	97.68	97.37236835	0.3076316456
Actinomyces	JAE014	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	103.8335	79.46262906	24.37087094
Actinomyces	JAE014	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	4398697	3488406	910291
Actinomyces	JAE014	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	96.78	96.30989811	0.4701018946
Actinomyces	KNP001	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	68.599	46.50764058	22.09135942
Actinomyces	KNP001	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	4055894	2882013	1173881
Actinomyces	KNP001	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	82.57	80.66046458	1.909535418
Actinomyces	KNP004	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	176.5787	120.0000983	56.5786017
Actinomyces	KNP004	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	10143191	7457309	2685882
Actinomyces	KNP004	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	86.11	84.53598906	1.574010944
Actinomyces	KNP005	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	36.0475	24.5551883	11.4923117
Actinomyces	KNP005	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	2021789	1452166	569623
Actinomyces	KNP005	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	82.3	80.35089836	1.949101643
Actinomyces	KNP009	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	69.2406	46.87784869	22.36275131
Actinomyces	KNP009	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	3966838	2866591	1100247
Actinomyces	KNP009	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	87.66	85.9388349	1.721165098
Actinomyces	LIB007.A0115	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	0	0	0
Actinomyces	LIB007.A0115	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1	0	1
Actinomyces	LIB007.A0115	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0	0	0
Actinomyces	LIB007.A0116	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	0	0	0
Actinomyces	LIB007.A0116	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	3	0	3
Actinomyces	LIB007.A0116	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0	0	0
Actinomyces	LIB007.A0135.SG1.1	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	1.00E-04	1.43E-05	8.57E-05
Actinomyces	LIB007.A0135.SG1.1	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	7	2	5
Actinomyces	LIB007.A0135.SG1.1	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0.01	0.002718473985	0.007281526015
Actinomyces	LIB025.A0301	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	0.01	0.006746923077	0.003253076923
Actinomyces	LIB025.A0301	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	677	442	235
Actinomyces	LIB025.A0301	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0.98	0.6863863637	0.2936136363
Actinomyces	LIB025.A1001	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	3.00E-04	2.04E-05	2.80E-04
Actinomyces	LIB025.A1001	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	24	2	22
Actinomyces	LIB025.A1001	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0.03	0.003822854041	0.02617714596
Actinomyces	LIB025.A1301	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	4.00E-04	2.14E-04	1.86E-04
Actinomyces	LIB025.A1301	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	36	23	13
Actinomyces	LIB025.A1301	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	0.04	0.02599540748	0.01400459252
Actinomyces	MTM009	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	22.8816	11.15020566	11.73139434
Actinomyces	MTM009	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1822613	979519	843094
Actinomyces	MTM009	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	79.32	76.46121516	2.858784836
Actinomyces	OAK002	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	5.1619	0.8161277231	4.345772277
Actinomyces	OAK002	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	435336	66445	368891
Actinomyces	OAK002	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	57	44.43849778	12.56150222
Actinomyces	OAK005	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	49.3968	34.76124252	14.63555748
Actinomyces	OAK005	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	3509734	2564028	945706
Actinomyces	OAK005	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	94.98	94.11665595	0.8633440515
Actinomyces	OME002	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	3.6289	0.4281183396	3.20078166
Actinomyces	OME002	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	269164	31036	238128
Actinomyces	OME002	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	23.43	10.31507963	13.11492037
Actinomyces	OME003	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	2.5896	0.2801363901	2.30946361
Actinomyces	OME003	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	176203	17817	158386
Actinomyces	OME003	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	20.51	7.98452622	12.52547378
Actinomyces	OME005	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	2.6829	0.3821511033	2.300748897
Actinomyces	OME005	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	176313	22733	153580
Actinomyces	OME005	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	18.7	8.227829641	10.47217036
Actinomyces	PES001	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	23.7638	13.83455774	9.929242259
Actinomyces	PES001	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1465529	887491	578038
Actinomyces	PES001	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	86.3	83.82176665	2.478233349
Actinomyces	TAF008	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	40.5782	27.03777179	13.54042821
Actinomyces	TAF008	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	3244235	2289502	954733
Actinomyces	TAF008	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	90.99	89.45840919	1.531590811
Actinomyces	VLC004	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	49.2888	37.36913396	11.91966604
Actinomyces	VLC004	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	1760712	1346195	414517
Actinomyces	VLC004	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	99	98.85354023	0.1464597681
Actinomyces	VLC009	Actinomyces_dentalis_DSM_19115	mean_fold_coverage	84.2123	69.80234534	14.40995466
Actinomyces	VLC009	Actinomyces_dentalis_DSM_19115	number_reads_mapped_after_rmdup	2637474	2239072	398402
Actinomyces	VLC009	Actinomyces_dentalis_DSM_19115	percent_coverage_morethan_1x	97.75	97.39281354	0.3571864559
Campylobacter	DJA002	Campylobacter_gracilis	mean_fold_coverage	4.018	3.7737215	0.2442785
Campylobacter	DJA002	Campylobacter_gracilis	number_reads_mapped_after_rmdup	226370	211833	14537
Campylobacter	DJA002	Campylobacter_gracilis	percent_coverage_morethan_1x	50.84	50.25591107	0.5840889321
Campylobacter	EBO003	Campylobacter_gracilis	mean_fold_coverage	1.5387	1.3693706	0.1693294
Campylobacter	EBO003	Campylobacter_gracilis	number_reads_mapped_after_rmdup	84782	75202	9580
Campylobacter	EBO003	Campylobacter_gracilis	percent_coverage_morethan_1x	41.36	40.69836241	0.6616375854
Campylobacter	ECO002	Campylobacter_gracilis	mean_fold_coverage	0.3695	0.2842296	0.0852704
Campylobacter	ECO002	Campylobacter_gracilis	number_reads_mapped_after_rmdup	22330	16944	5386
Campylobacter	ECO002	Campylobacter_gracilis	percent_coverage_morethan_1x	21.72	20.62553799	1.094462013
Campylobacter	ECO004	Campylobacter_gracilis	mean_fold_coverage	0.5224	0.4297934	0.0926066
Campylobacter	ECO004	Campylobacter_gracilis	number_reads_mapped_after_rmdup	31844	26083	5761
Campylobacter	ECO004	Campylobacter_gracilis	percent_coverage_morethan_1x	28.66	27.42052688	1.239473119
Campylobacter	EMN001	Campylobacter_gracilis	mean_fold_coverage	1.0056	0.8114414	0.1941586
Campylobacter	EMN001	Campylobacter_gracilis	number_reads_mapped_after_rmdup	42326	31922	10404
Campylobacter	EMN001	Campylobacter_gracilis	percent_coverage_morethan_1x	35.27	34.43242002	0.8375799815
Campylobacter	FUM002	Campylobacter_gracilis	mean_fold_coverage	0.0617	0.019162	0.042538
Campylobacter	FUM002	Campylobacter_gracilis	number_reads_mapped_after_rmdup	3695	1128	2567
Campylobacter	FUM002	Campylobacter_gracilis	percent_coverage_morethan_1x	2.24	1.756052194	0.4839478062
Campylobacter	GOY005	Campylobacter_gracilis	mean_fold_coverage	4.991	4.183373	0.807627
Campylobacter	GOY005	Campylobacter_gracilis	number_reads_mapped_after_rmdup	289541	241558	47983
Campylobacter	GOY005	Campylobacter_gracilis	percent_coverage_morethan_1x	55.7	55.00694234	0.6930576617
Campylobacter	JAE008	Campylobacter_gracilis	mean_fold_coverage	3.3466	3.1264443	0.2201557
Campylobacter	JAE008	Campylobacter_gracilis	number_reads_mapped_after_rmdup	97324	90156	7168
Campylobacter	JAE008	Campylobacter_gracilis	percent_coverage_morethan_1x	63.29	63.00320995	0.2867900451
Campylobacter	JAE014	Campylobacter_gracilis	mean_fold_coverage	0.8547	0.727937	0.126763
Campylobacter	JAE014	Campylobacter_gracilis	number_reads_mapped_after_rmdup	25603	21352	4251
Campylobacter	JAE014	Campylobacter_gracilis	percent_coverage_morethan_1x	31.63	31.21624157	0.4137584347
Campylobacter	KNP001	Campylobacter_gracilis	mean_fold_coverage	2.7374	2.4711828	0.2662172
Campylobacter	KNP001	Campylobacter_gracilis	number_reads_mapped_after_rmdup	120869	107548	13321
Campylobacter	KNP001	Campylobacter_gracilis	percent_coverage_morethan_1x	36.73	36.30838533	0.4216146722
Campylobacter	KNP004	Campylobacter_gracilis	mean_fold_coverage	4.4945	4.0885253	0.4059747
Campylobacter	KNP004	Campylobacter_gracilis	number_reads_mapped_after_rmdup	182492	163800	18692
Campylobacter	KNP004	Campylobacter_gracilis	percent_coverage_morethan_1x	41.81	41.37804538	0.4319546188
Campylobacter	KNP005	Campylobacter_gracilis	mean_fold_coverage	0.7994	0.6524141	0.1469859
Campylobacter	KNP005	Campylobacter_gracilis	number_reads_mapped_after_rmdup	34885	27582	7303
Campylobacter	KNP005	Campylobacter_gracilis	percent_coverage_morethan_1x	24.36	23.88699065	0.4730093459
Campylobacter	KNP009	Campylobacter_gracilis	mean_fold_coverage	2.0418	1.8436462	0.1981538
Campylobacter	KNP009	Campylobacter_gracilis	number_reads_mapped_after_rmdup	85694	76322	9372
Campylobacter	KNP009	Campylobacter_gracilis	percent_coverage_morethan_1x	33.79	33.34881919	0.4411808111
Campylobacter	LIB007.A0115	Campylobacter_gracilis	mean_fold_coverage	0	1.53E-05	-1.53E-05
Campylobacter	LIB007.A0115	Campylobacter_gracilis	number_reads_mapped_after_rmdup	3	1	2
Campylobacter	LIB007.A0115	Campylobacter_gracilis	percent_coverage_morethan_1x	0	0.001533976259	-0.001533976259
Campylobacter	LIB007.A0116	Campylobacter_gracilis	mean_fold_coverage	1.00E-04	0	1.00E-04
Campylobacter	LIB007.A0116	Campylobacter_gracilis	number_reads_mapped_after_rmdup	3	0	3
Campylobacter	LIB007.A0116	Campylobacter_gracilis	percent_coverage_morethan_1x	0.01	0	0.01
Campylobacter	LIB007.A0135.SG1.1	Campylobacter_gracilis	mean_fold_coverage	1.00E-04	0	1.00E-04
Campylobacter	LIB007.A0135.SG1.1	Campylobacter_gracilis	number_reads_mapped_after_rmdup	4	0	4
Campylobacter	LIB007.A0135.SG1.1	Campylobacter_gracilis	percent_coverage_morethan_1x	0.01	0	0.01
Campylobacter	LIB025.A0301	Campylobacter_gracilis	mean_fold_coverage	4.00E-04	6.97E-05	3.30E-04
Campylobacter	LIB025.A0301	Campylobacter_gracilis	number_reads_mapped_after_rmdup	23	4	19
Campylobacter	LIB025.A0301	Campylobacter_gracilis	percent_coverage_morethan_1x	0.04	0.006968635007	0.03303136499
